Molecule 1,Molecule 2,Distance
bpRNA_RFAM_37138,bpRNA_RFAM_37140,0.0
bpRNA_RFAM_37138,bpRNA_RFAM_37142,0.0
bpRNA_RFAM_37138,bpRNA_RFAM_37143,0.0
bpRNA_RFAM_37138,bpRNA_RFAM_37146,0.0
bpRNA_RFAM_37138,bpRNA_RFAM_37149,0.0
bpRNA_RFAM_37138,bpRNA_RFAM_37151,0.0
bpRNA_RFAM_37138,bpRNA_RFAM_37153,0.0
bpRNA_RFAM_37138,bpRNA_RFAM_38668,2800.0
bpRNA_RFAM_37138,bpRNA_RFAM_42542,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42545,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42548,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42550,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42552,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42554,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42556,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42558,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42563,3000.0
bpRNA_RFAM_37138,bpRNA_RFAM_42565,3000.0
bpRNA_RFAM_37138,bpRNA_RFAM_42569,3000.0
bpRNA_RFAM_37138,bpRNA_RFAM_42570,3000.0
bpRNA_RFAM_37138,bpRNA_RFAM_42574,3000.0
bpRNA_RFAM_37138,bpRNA_RFAM_42576,3000.0
bpRNA_RFAM_37138,bpRNA_RFAM_42577,3000.0
bpRNA_RFAM_37138,bpRNA_RFAM_42584,900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42585,900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42587,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42602,1900.0
bpRNA_RFAM_37138,bpRNA_RFAM_42603,800.0
bpRNA_RFAM_37138,bpRNA_RFAM_5814,2500.0
bpRNA_RFAM_37138,bpRNA_RFAM_5815,2600.0
bpRNA_RFAM_37138,bpRNA_RFAM_5967,400.0
bpRNA_RFAM_37138,bpRNA_RFAM_5968,400.0
bpRNA_RFAM_37138,bpRNA_RFAM_5969,400.0
bpRNA_RFAM_37138,bpRNA_RFAM_5970,400.0
bpRNA_RFAM_37138,bpRNA_RFAM_5971,400.0
bpRNA_RFAM_37138,bpRNA_RFAM_670,1600.0
bpRNA_RFAM_37140,bpRNA_RFAM_37142,0.0
bpRNA_RFAM_37140,bpRNA_RFAM_37143,0.0
bpRNA_RFAM_37140,bpRNA_RFAM_37146,0.0
bpRNA_RFAM_37140,bpRNA_RFAM_37149,0.0
bpRNA_RFAM_37140,bpRNA_RFAM_37151,0.0
bpRNA_RFAM_37140,bpRNA_RFAM_37153,0.0
bpRNA_RFAM_37140,bpRNA_RFAM_38668,2800.0
bpRNA_RFAM_37140,bpRNA_RFAM_42542,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42545,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42548,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42550,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42552,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42554,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42556,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42558,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42563,3000.0
bpRNA_RFAM_37140,bpRNA_RFAM_42565,3000.0
bpRNA_RFAM_37140,bpRNA_RFAM_42569,3000.0
bpRNA_RFAM_37140,bpRNA_RFAM_42570,3000.0
bpRNA_RFAM_37140,bpRNA_RFAM_42574,3000.0
bpRNA_RFAM_37140,bpRNA_RFAM_42576,3000.0
bpRNA_RFAM_37140,bpRNA_RFAM_42577,3000.0
bpRNA_RFAM_37140,bpRNA_RFAM_42584,900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42585,900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42587,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42602,1900.0
bpRNA_RFAM_37140,bpRNA_RFAM_42603,800.0
bpRNA_RFAM_37140,bpRNA_RFAM_5814,2500.0
bpRNA_RFAM_37140,bpRNA_RFAM_5815,2600.0
bpRNA_RFAM_37140,bpRNA_RFAM_5967,400.0
bpRNA_RFAM_37140,bpRNA_RFAM_5968,400.0
bpRNA_RFAM_37140,bpRNA_RFAM_5969,400.0
bpRNA_RFAM_37140,bpRNA_RFAM_5970,400.0
bpRNA_RFAM_37140,bpRNA_RFAM_5971,400.0
bpRNA_RFAM_37140,bpRNA_RFAM_670,1600.0
bpRNA_RFAM_37142,bpRNA_RFAM_37143,0.0
bpRNA_RFAM_37142,bpRNA_RFAM_37146,0.0
bpRNA_RFAM_37142,bpRNA_RFAM_37149,0.0
bpRNA_RFAM_37142,bpRNA_RFAM_37151,0.0
bpRNA_RFAM_37142,bpRNA_RFAM_37153,0.0
bpRNA_RFAM_37142,bpRNA_RFAM_38668,2800.0
bpRNA_RFAM_37142,bpRNA_RFAM_42542,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42545,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42548,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42550,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42552,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42554,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42556,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42558,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42563,3000.0
bpRNA_RFAM_37142,bpRNA_RFAM_42565,3000.0
bpRNA_RFAM_37142,bpRNA_RFAM_42569,3000.0
bpRNA_RFAM_37142,bpRNA_RFAM_42570,3000.0
bpRNA_RFAM_37142,bpRNA_RFAM_42574,3000.0
bpRNA_RFAM_37142,bpRNA_RFAM_42576,3000.0
bpRNA_RFAM_37142,bpRNA_RFAM_42577,3000.0
bpRNA_RFAM_37142,bpRNA_RFAM_42584,900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42585,900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42587,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42602,1900.0
bpRNA_RFAM_37142,bpRNA_RFAM_42603,800.0
bpRNA_RFAM_37142,bpRNA_RFAM_5814,2500.0
bpRNA_RFAM_37142,bpRNA_RFAM_5815,2600.0
bpRNA_RFAM_37142,bpRNA_RFAM_5967,400.0
bpRNA_RFAM_37142,bpRNA_RFAM_5968,400.0
bpRNA_RFAM_37142,bpRNA_RFAM_5969,400.0
bpRNA_RFAM_37142,bpRNA_RFAM_5970,400.0
bpRNA_RFAM_37142,bpRNA_RFAM_5971,400.0
bpRNA_RFAM_37142,bpRNA_RFAM_670,1600.0
bpRNA_RFAM_37143,bpRNA_RFAM_37146,0.0
bpRNA_RFAM_37143,bpRNA_RFAM_37149,0.0
bpRNA_RFAM_37143,bpRNA_RFAM_37151,0.0
bpRNA_RFAM_37143,bpRNA_RFAM_37153,0.0
bpRNA_RFAM_37143,bpRNA_RFAM_38668,2800.0
bpRNA_RFAM_37143,bpRNA_RFAM_42542,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42545,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42548,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42550,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42552,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42554,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42556,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42558,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42563,3000.0
bpRNA_RFAM_37143,bpRNA_RFAM_42565,3000.0
bpRNA_RFAM_37143,bpRNA_RFAM_42569,3000.0
bpRNA_RFAM_37143,bpRNA_RFAM_42570,3000.0
bpRNA_RFAM_37143,bpRNA_RFAM_42574,3000.0
bpRNA_RFAM_37143,bpRNA_RFAM_42576,3000.0
bpRNA_RFAM_37143,bpRNA_RFAM_42577,3000.0
bpRNA_RFAM_37143,bpRNA_RFAM_42584,900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42585,900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42587,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42602,1900.0
bpRNA_RFAM_37143,bpRNA_RFAM_42603,800.0
bpRNA_RFAM_37143,bpRNA_RFAM_5814,2500.0
bpRNA_RFAM_37143,bpRNA_RFAM_5815,2600.0
bpRNA_RFAM_37143,bpRNA_RFAM_5967,400.0
bpRNA_RFAM_37143,bpRNA_RFAM_5968,400.0
bpRNA_RFAM_37143,bpRNA_RFAM_5969,400.0
bpRNA_RFAM_37143,bpRNA_RFAM_5970,400.0
bpRNA_RFAM_37143,bpRNA_RFAM_5971,400.0
bpRNA_RFAM_37143,bpRNA_RFAM_670,1600.0
bpRNA_RFAM_37146,bpRNA_RFAM_37149,0.0
bpRNA_RFAM_37146,bpRNA_RFAM_37151,0.0
bpRNA_RFAM_37146,bpRNA_RFAM_37153,0.0
bpRNA_RFAM_37146,bpRNA_RFAM_38668,2800.0
bpRNA_RFAM_37146,bpRNA_RFAM_42542,1900.0
bpRNA_RFAM_37146,bpRNA_RFAM_42545,1900.0
bpRNA_RFAM_37146,bpRNA_RFAM_42548,1900.0
