Molecule 1, Molecule 2, Distance
CRW_5S_B_Ac_30, CRW_5S_B_Ac_44,16.5
CRW_5S_B_Ac_30, CRW_5S_B_Ac_4,19.25
CRW_5S_B_Ac_30, CRW_5S_B_Ac_7,8.5
CRW_5S_B_Ac_30, CRW_5S_B_Ac_8,9.0
CRW_5S_B_Ac_30, CRW_5S_B_B_18,13.75
CRW_5S_B_Ac_30, CRW_5S_B_Cy_51,36.5
CRW_5S_B_Ac_30, CRW_5S_B_D_13,34.5
CRW_5S_B_Ac_30, CRW_5S_B_D_14,34.5
CRW_5S_B_Ac_30, CRW_5S_B_D_15,34.5
CRW_5S_B_Ac_30, CRW_5S_B_D_53,23.5
CRW_5S_B_Ac_30, CRW_5S_B_D_54,27.5
CRW_5S_B_Ac_30, CRW_5S_B_D_55,23.25
CRW_5S_B_Ac_30, CRW_5S_B_D_56,25.0
CRW_5S_B_Ac_30, CRW_5S_B_F_11,27.0
CRW_5S_B_Ac_30, CRW_5S_B_F_22,23.5
CRW_5S_B_Ac_30, CRW_5S_B_F_23,24.5
CRW_5S_B_Ac_30, CRW_5S_B_F_24,32.0
CRW_5S_B_Ac_30, CRW_5S_B_F_25,24.25
CRW_5S_B_Ac_30, CRW_5S_B_F_49,26.25
CRW_5S_B_Ac_30, CRW_5S_B_F_50,27.0
CRW_5S_B_Ac_30, CRW_5S_B_P_10,31.75
CRW_5S_B_Ac_30, CRW_5S_B_P_12,32.0
CRW_5S_B_Ac_30, CRW_5S_B_P_16,32.75
CRW_5S_B_Ac_30, CRW_5S_B_P_17,29.25
CRW_5S_B_Ac_30, CRW_5S_B_P_19,31.25
CRW_5S_B_Ac_30, CRW_5S_B_P_1,27.25
CRW_5S_B_Ac_30, CRW_5S_B_P_26,32.0
CRW_5S_B_Ac_30, CRW_5S_B_P_27,22.75
CRW_5S_B_Ac_30, CRW_5S_B_P_28,29.75
CRW_5S_B_Ac_30, CRW_5S_B_P_29,29.25
CRW_5S_B_Ac_30, CRW_5S_B_P_2,29.75
CRW_5S_B_Ac_30, CRW_5S_B_P_33,30.25
CRW_5S_B_Ac_30, CRW_5S_B_P_34,32.25
CRW_5S_B_Ac_30, CRW_5S_B_P_35,31.25
CRW_5S_B_Ac_30, CRW_5S_B_P_37,31.25
CRW_5S_B_Ac_30, CRW_5S_B_P_38,31.75
CRW_5S_B_Ac_30, CRW_5S_B_P_39,31.25
CRW_5S_B_Ac_30, CRW_5S_B_P_3,29.0
CRW_5S_B_Ac_30, CRW_5S_B_P_40,30.75
CRW_5S_B_Ac_30, CRW_5S_B_P_41,30.5
CRW_5S_B_Ac_30, CRW_5S_B_P_42,31.75
CRW_5S_B_Ac_30, CRW_5S_B_P_43,27.25
CRW_5S_B_Ac_30, CRW_5S_B_P_45,25.0
CRW_5S_B_Ac_30, CRW_5S_B_P_46,28.75
CRW_5S_B_Ac_30, CRW_5S_B_P_47,29.75
CRW_5S_B_Ac_30, CRW_5S_B_P_48,28.75
CRW_5S_B_Ac_30, CRW_5S_B_P_57,30.0
CRW_5S_B_Ac_30, CRW_5S_B_P_58,28.75
CRW_5S_B_Ac_30, CRW_5S_B_P_59,30.75
CRW_5S_B_Ac_30, CRW_5S_B_P_5,30.0
CRW_5S_B_Ac_30, CRW_5S_B_P_60,32.25
CRW_5S_B_Ac_30, CRW_5S_B_P_61,30.75
CRW_5S_B_Ac_30, CRW_5S_B_P_62,31.75
CRW_5S_B_Ac_30, CRW_5S_B_P_63,31.25
CRW_5S_B_Ac_30, CRW_5S_B_P_64,30.75
CRW_5S_B_Ac_30, CRW_5S_B_P_65,32.25
CRW_5S_B_Ac_30, CRW_5S_B_P_66,29.25
