Molecule 1,Molecule 2,Distance
CRW_5S_E_A_14,CRW_5S_E_A_30,6
CRW_5S_E_A_14,CRW_5S_E_A_31,5
CRW_5S_E_A_14,CRW_5S_E_A_68,3
CRW_5S_E_A_14,CRW_5S_E_A_91,3
CRW_5S_E_A_14,CRW_5S_E_E_28,12
CRW_5S_E_A_14,CRW_5S_E_E_29,12
CRW_5S_E_A_14,CRW_5S_E_E_94,9
CRW_5S_E_A_14,CRW_5S_E_E_95,10
CRW_5S_E_A_14,CRW_5S_E_F_50,12
CRW_5S_E_A_14,CRW_5S_E_F_52,8
CRW_5S_E_A_14,CRW_5S_E_F_7,14
CRW_5S_E_A_14,CRW_5S_E_F_82,17
CRW_5S_E_A_14,CRW_5S_E_F_86,9
CRW_5S_E_A_14,CRW_5S_E_M_11,11
CRW_5S_E_A_14,CRW_5S_E_M_12,11
CRW_5S_E_A_14,CRW_5S_E_M_15,10
CRW_5S_E_A_14,CRW_5S_E_M_16,10
CRW_5S_E_A_14,CRW_5S_E_M_17,10
CRW_5S_E_A_14,CRW_5S_E_M_18,11
CRW_5S_E_A_14,CRW_5S_E_M_19,10
CRW_5S_E_A_14,CRW_5S_E_M_20,15
CRW_5S_E_A_14,CRW_5S_E_M_22,13
CRW_5S_E_A_14,CRW_5S_E_M_23,11
CRW_5S_E_A_14,CRW_5S_E_M_24,11
CRW_5S_E_A_14,CRW_5S_E_M_25,40
CRW_5S_E_A_14,CRW_5S_E_M_26,10
CRW_5S_E_A_14,CRW_5S_E_M_2,9
CRW_5S_E_A_14,CRW_5S_E_M_38,11
CRW_5S_E_A_14,CRW_5S_E_M_39,7
CRW_5S_E_A_14,CRW_5S_E_M_3,9
CRW_5S_E_A_14,CRW_5S_E_M_40,11
CRW_5S_E_A_14,CRW_5S_E_M_41,15
CRW_5S_E_A_14,CRW_5S_E_M_42,13
CRW_5S_E_A_14,CRW_5S_E_M_43,13
CRW_5S_E_A_14,CRW_5S_E_M_44,13
CRW_5S_E_A_14,CRW_5S_E_M_45,13
CRW_5S_E_A_14,CRW_5S_E_M_46,13
CRW_5S_E_A_14,CRW_5S_E_M_48,12
CRW_5S_E_A_14,CRW_5S_E_M_57,13
CRW_5S_E_A_14,CRW_5S_E_M_59,12
CRW_5S_E_A_14,CRW_5S_E_M_5,11
CRW_5S_E_A_14,CRW_5S_E_M_60,12
CRW_5S_E_A_14,CRW_5S_E_M_61,13
CRW_5S_E_A_14,CRW_5S_E_M_64,30
CRW_5S_E_A_14,CRW_5S_E_M_65,11
CRW_5S_E_A_14,CRW_5S_E_M_6,14
CRW_5S_E_A_14,CRW_5S_E_M_72,10
CRW_5S_E_A_14,CRW_5S_E_M_75,11
CRW_5S_E_A_14,CRW_5S_E_M_76,11
CRW_5S_E_A_14,CRW_5S_E_M_77,9
CRW_5S_E_A_14,CRW_5S_E_M_79,13
CRW_5S_E_A_14,CRW_5S_E_M_80,13
CRW_5S_E_A_14,CRW_5S_E_M_81,13
CRW_5S_E_A_14,CRW_5S_E_M_83,10
