Molecule 1,Molecule 2,Distance
CRW_5S_B_Ac_30,CRW_5S_B_Ac_44,100
CRW_5S_B_Ac_30,CRW_5S_B_Ac_4,88.5
CRW_5S_B_Ac_30,CRW_5S_B_Ac_7,117.5
CRW_5S_B_Ac_30,CRW_5S_B_Ac_8,118.5
CRW_5S_B_Ac_30,CRW_5S_B_B_18,102.5
CRW_5S_B_Ac_30,CRW_5S_B_Cy_51,35
CRW_5S_B_Ac_30,CRW_5S_B_D_13,45
CRW_5S_B_Ac_30,CRW_5S_B_D_14,45
CRW_5S_B_Ac_30,CRW_5S_B_D_15,45
CRW_5S_B_Ac_30,CRW_5S_B_D_53,72
CRW_5S_B_Ac_30,CRW_5S_B_D_54,65.5
CRW_5S_B_Ac_30,CRW_5S_B_D_55,67
CRW_5S_B_Ac_30,CRW_5S_B_D_56,66
CRW_5S_B_Ac_30,CRW_5S_B_F_11,57.5
CRW_5S_B_Ac_30,CRW_5S_B_F_22,67
CRW_5S_B_Ac_30,CRW_5S_B_F_23,65
CRW_5S_B_Ac_30,CRW_5S_B_F_24,47.5
CRW_5S_B_Ac_30,CRW_5S_B_F_25,63
CRW_5S_B_Ac_30,CRW_5S_B_F_49,60.5
CRW_5S_B_Ac_30,CRW_5S_B_F_50,63.5
CRW_5S_B_Ac_30,CRW_5S_B_P_10,42.5
CRW_5S_B_Ac_30,CRW_5S_B_P_12,44.5
CRW_5S_B_Ac_30,CRW_5S_B_P_16,46.5
CRW_5S_B_Ac_30,CRW_5S_B_P_17,52
CRW_5S_B_Ac_30,CRW_5S_B_P_19,54
CRW_5S_B_Ac_30,CRW_5S_B_P_1,58
CRW_5S_B_Ac_30,CRW_5S_B_P_26,44
CRW_5S_B_Ac_30,CRW_5S_B_P_27,76
CRW_5S_B_Ac_30,CRW_5S_B_P_28,54
CRW_5S_B_Ac_30,CRW_5S_B_P_29,56.5
CRW_5S_B_Ac_30,CRW_5S_B_P_2,52.5
CRW_5S_B_Ac_30,CRW_5S_B_P_33,52.5
CRW_5S_B_Ac_30,CRW_5S_B_P_34,49
CRW_5S_B_Ac_30,CRW_5S_B_P_35,50.5
CRW_5S_B_Ac_30,CRW_5S_B_P_37,52
CRW_5S_B_Ac_30,CRW_5S_B_P_38,50
CRW_5S_B_Ac_30,CRW_5S_B_P_39,42.5
CRW_5S_B_Ac_30,CRW_5S_B_P_3,53.5
CRW_5S_B_Ac_30,CRW_5S_B_P_40,44.5
CRW_5S_B_Ac_30,CRW_5S_B_P_41,43
CRW_5S_B_Ac_30,CRW_5S_B_P_42,43.5
CRW_5S_B_Ac_30,CRW_5S_B_P_43,63
CRW_5S_B_Ac_30,CRW_5S_B_P_45,78
CRW_5S_B_Ac_30,CRW_5S_B_P_46,52
CRW_5S_B_Ac_30,CRW_5S_B_P_47,50
CRW_5S_B_Ac_30,CRW_5S_B_P_48,56
CRW_5S_B_Ac_30,CRW_5S_B_P_57,46
CRW_5S_B_Ac_30,CRW_5S_B_P_58,48
CRW_5S_B_Ac_30,CRW_5S_B_P_59,53
CRW_5S_B_Ac_30,CRW_5S_B_P_5,59.5
CRW_5S_B_Ac_30,CRW_5S_B_P_60,46
CRW_5S_B_Ac_30,CRW_5S_B_P_61,50.5
CRW_5S_B_Ac_30,CRW_5S_B_P_62,46
CRW_5S_B_Ac_30,CRW_5S_B_P_63,52
CRW_5S_B_Ac_30,CRW_5S_B_P_64,50.5
CRW_5S_B_Ac_30,CRW_5S_B_P_65,46
CRW_5S_B_Ac_30,CRW_5S_B_P_66,54.5
CRW_5S_B_Ac_30,CRW_5S_B_P_67,48
CRW_5S_B_Ac_30,CRW_5S_B_P_68,48
