Molecule, ValueS, ValueE
CRW-5S_A_C_20_nH,1.066668,6.544189
CRW-5S_A_C_22_nH,1.031189,0.905635
CRW-5S_A_C_23_nH,1.031189,0.905635
CRW-5S_A_C_24_nH,1.031189,0.905635
CRW-5S_A_C_25_nH,1.031189,0.905635
CRW-5S_A_E_10_nH,1.031189,0.905635
CRW-5S_A_E_11_nH,1.031189,0.905635
CRW-5S_A_E_12_nH,1.031189,0.905635
CRW-5S_A_E_13_nH,1.066668,6.544189
CRW-5S_A_E_14_nH,1.031189,0.905635
CRW-5S_A_E_15_nH,1.031189,0.905635
CRW-5S_A_E_16_nH,1.031189,0.905635
CRW-5S_A_E_17_nH,1.031189,0.905635
CRW-5S_A_E_18_nH,1.031189,0.905635
CRW-5S_A_E_19_nH,1.031189,0.905635
CRW-5S_A_E_21_nH,1.031189,0.905635
CRW-5S_A_E_26_nH,1.031189,0.905635
CRW-5S_A_E_27_nH,1.031189,0.905635
CRW-5S_A_E_2_nH,1.031189,0.905635
CRW-5S_A_E_3_nH,1.031189,0.905635
CRW-5S_A_E_4_nH,1.031189,0.905635
CRW-5S_A_E_5_nH,1.031189,0.905635
CRW-5S_A_E_6_nH,1.031189,0.905635
CRW-5S_A_E_7_nH,1.031189,0.905635
CRW-5S_A_E_8_nH,1.031189,0.905635
CRW-5S_A_E_9_nH,1.031189,0.905635
