Molecule 1,Molecule 2,Distance
CRW_5S_E_A_14,CRW_5S_E_A_30,0
CRW_5S_E_A_14,CRW_5S_E_A_31,0
CRW_5S_E_A_14,CRW_5S_E_A_68,0
CRW_5S_E_A_14,CRW_5S_E_A_91,0
CRW_5S_E_A_14,CRW_5S_E_E_28,1
CRW_5S_E_A_14,CRW_5S_E_E_29,1
CRW_5S_E_A_14,CRW_5S_E_E_94,0
CRW_5S_E_A_14,CRW_5S_E_E_95,0
CRW_5S_E_A_14,CRW_5S_E_F_50,2
CRW_5S_E_A_14,CRW_5S_E_F_52,0
CRW_5S_E_A_14,CRW_5S_E_F_7,3
CRW_5S_E_A_14,CRW_5S_E_F_82,4
CRW_5S_E_A_14,CRW_5S_E_F_86,1
CRW_5S_E_A_14,CRW_5S_E_M_11,0
CRW_5S_E_A_14,CRW_5S_E_M_12,0
CRW_5S_E_A_14,CRW_5S_E_M_15,0
CRW_5S_E_A_14,CRW_5S_E_M_16,1
CRW_5S_E_A_14,CRW_5S_E_M_17,1
CRW_5S_E_A_14,CRW_5S_E_M_18,0
CRW_5S_E_A_14,CRW_5S_E_M_19,0
CRW_5S_E_A_14,CRW_5S_E_M_20,0
CRW_5S_E_A_14,CRW_5S_E_M_22,0
CRW_5S_E_A_14,CRW_5S_E_M_23,0
CRW_5S_E_A_14,CRW_5S_E_M_24,0
CRW_5S_E_A_14,CRW_5S_E_M_25,15
CRW_5S_E_A_14,CRW_5S_E_M_26,0
CRW_5S_E_A_14,CRW_5S_E_M_2,0
CRW_5S_E_A_14,CRW_5S_E_M_38,0
CRW_5S_E_A_14,CRW_5S_E_M_39,0
CRW_5S_E_A_14,CRW_5S_E_M_3,0
CRW_5S_E_A_14,CRW_5S_E_M_40,0
CRW_5S_E_A_14,CRW_5S_E_M_41,1
CRW_5S_E_A_14,CRW_5S_E_M_42,1
CRW_5S_E_A_14,CRW_5S_E_M_43,1
CRW_5S_E_A_14,CRW_5S_E_M_44,1
CRW_5S_E_A_14,CRW_5S_E_M_45,1
CRW_5S_E_A_14,CRW_5S_E_M_46,1
CRW_5S_E_A_14,CRW_5S_E_M_48,0
CRW_5S_E_A_14,CRW_5S_E_M_57,1
CRW_5S_E_A_14,CRW_5S_E_M_59,0
CRW_5S_E_A_14,CRW_5S_E_M_5,0
CRW_5S_E_A_14,CRW_5S_E_M_60,0
CRW_5S_E_A_14,CRW_5S_E_M_61,1
CRW_5S_E_A_14,CRW_5S_E_M_64,11
CRW_5S_E_A_14,CRW_5S_E_M_65,0
CRW_5S_E_A_14,CRW_5S_E_M_6,0
CRW_5S_E_A_14,CRW_5S_E_M_72,0
CRW_5S_E_A_14,CRW_5S_E_M_75,0
CRW_5S_E_A_14,CRW_5S_E_M_76,0
CRW_5S_E_A_14,CRW_5S_E_M_77,0
CRW_5S_E_A_14,CRW_5S_E_M_79,1
CRW_5S_E_A_14,CRW_5S_E_M_80,1
CRW_5S_E_A_14,CRW_5S_E_M_81,1
CRW_5S_E_A_14,CRW_5S_E_M_83,0
CRW_5S_E_A_14,CRW_5S_E_M_88,0
CRW_5S_E_A_14,CRW_5S_E_M_89,0
CRW_5S_E_A_14,CRW_5S_E_M_8,0
CRW_5S_E_A_14,CRW_5S_E_M_96,0
CRW_5S_E_A_14,CRW_5S_E_M_9,0
CRW_5S_E_A_14,CRW_5S_E_S_85,1
CRW_5S_E_A_14,CRW_5S_E_V_10,2
CRW_5S_E_A_14,CRW_5S_E_V_13,2
CRW_5S_E_A_14,CRW_5S_E_V_21,2
CRW_5S_E_A_14,CRW_5S_E_V_33,2
CRW_5S_E_A_14,CRW_5S_E_V_35,2
CRW_5S_E_A_14,CRW_5S_E_V_36,2
CRW_5S_E_A_14,CRW_5S_E_V_37,2
CRW_5S_E_A_14,CRW_5S_E_V_51,2
CRW_5S_E_A_14,CRW_5S_E_V_55,2
CRW_5S_E_A_14,CRW_5S_E_V_56,2
CRW_5S_E_A_14,CRW_5S_E_V_58,2
CRW_5S_E_A_14,CRW_5S_E_V_66,3
CRW_5S_E_A_14,CRW_5S_E_V_67,3
CRW_5S_E_A_14,CRW_5S_E_V_74,2
CRW_5S_E_A_14,CRW_5S_E_V_92,2
CRW_5S_E_A_14,CRW_5S_E_V_93,2
CRW_5S_E_A_30,CRW_5S_E_A_31,0
CRW_5S_E_A_30,CRW_5S_E_A_68,0
CRW_5S_E_A_30,CRW_5S_E_A_91,0
CRW_5S_E_A_30,CRW_5S_E_E_28,1
CRW_5S_E_A_30,CRW_5S_E_E_29,1
CRW_5S_E_A_30,CRW_5S_E_E_94,0
CRW_5S_E_A_30,CRW_5S_E_E_95,0
CRW_5S_E_A_30,CRW_5S_E_F_50,2
CRW_5S_E_A_30,CRW_5S_E_F_52,0
CRW_5S_E_A_30,CRW_5S_E_F_7,3
CRW_5S_E_A_30,CRW_5S_E_F_82,4
CRW_5S_E_A_30,CRW_5S_E_F_86,1
CRW_5S_E_A_30,CRW_5S_E_M_11,0
CRW_5S_E_A_30,CRW_5S_E_M_12,0
CRW_5S_E_A_30,CRW_5S_E_M_15,0
