Molecule 1,Molecule 2,Distance
CRW-5S_A_C_20_nH,CRW-5S_A_C_22_nH,68.5
CRW-5S_A_C_20_nH,CRW-5S_A_C_23_nH,55
CRW-5S_A_C_20_nH,CRW-5S_A_C_24_nH,55
CRW-5S_A_C_20_nH,CRW-5S_A_C_25_nH,61
CRW-5S_A_C_20_nH,CRW-5S_A_E_10_nH,30
CRW-5S_A_C_20_nH,CRW-5S_A_E_11_nH,36
CRW-5S_A_C_20_nH,CRW-5S_A_E_12_nH,34
CRW-5S_A_C_20_nH,CRW-5S_A_E_13_nH,28.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_14_nH,29.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_15_nH,29.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_16_nH,32.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_17_nH,20
CRW-5S_A_C_20_nH,CRW-5S_A_E_18_nH,24.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_19_nH,36.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_21_nH,59
CRW-5S_A_C_20_nH,CRW-5S_A_E_26_nH,61
CRW-5S_A_C_20_nH,CRW-5S_A_E_27_nH,37
CRW-5S_A_C_20_nH,CRW-5S_A_E_2_nH,43
CRW-5S_A_C_20_nH,CRW-5S_A_E_3_nH,44
CRW-5S_A_C_20_nH,CRW-5S_A_E_4_nH,49
CRW-5S_A_C_20_nH,CRW-5S_A_E_5_nH,37.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_6_nH,35.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_7_nH,32.5
CRW-5S_A_C_20_nH,CRW-5S_A_E_8_nH,33
CRW-5S_A_C_20_nH,CRW-5S_A_E_9_nH,41.5
CRW-5S_A_C_22_nH,CRW-5S_A_C_23_nH,88
CRW-5S_A_C_22_nH,CRW-5S_A_C_24_nH,88
CRW-5S_A_C_22_nH,CRW-5S_A_C_25_nH,94
CRW-5S_A_C_22_nH,CRW-5S_A_E_10_nH,44.5
CRW-5S_A_C_22_nH,CRW-5S_A_E_11_nH,42.5
CRW-5S_A_C_22_nH,CRW-5S_A_E_12_nH,40.5
CRW-5S_A_C_22_nH,CRW-5S_A_E_13_nH,35
