Molecule 1,Molecule 2,Distance
bpRNA_RFAM_37138,bpRNA_RFAM_37140,0
bpRNA_RFAM_37138,bpRNA_RFAM_37142,0
bpRNA_RFAM_37138,bpRNA_RFAM_37143,0
bpRNA_RFAM_37138,bpRNA_RFAM_37146,0
bpRNA_RFAM_37138,bpRNA_RFAM_37149,0
bpRNA_RFAM_37138,bpRNA_RFAM_37151,0
bpRNA_RFAM_37138,bpRNA_RFAM_37153,0
bpRNA_RFAM_37138,bpRNA_RFAM_38668,80
bpRNA_RFAM_37138,bpRNA_RFAM_42542,72
bpRNA_RFAM_37138,bpRNA_RFAM_42545,72
bpRNA_RFAM_37138,bpRNA_RFAM_42548,72
bpRNA_RFAM_37138,bpRNA_RFAM_42550,72
bpRNA_RFAM_37138,bpRNA_RFAM_42552,72
bpRNA_RFAM_37138,bpRNA_RFAM_42554,76
bpRNA_RFAM_37138,bpRNA_RFAM_42556,72
bpRNA_RFAM_37138,bpRNA_RFAM_42558,72
bpRNA_RFAM_37138,bpRNA_RFAM_42563,54
bpRNA_RFAM_37138,bpRNA_RFAM_42565,54
bpRNA_RFAM_37138,bpRNA_RFAM_42569,54
bpRNA_RFAM_37138,bpRNA_RFAM_42570,54
bpRNA_RFAM_37138,bpRNA_RFAM_42574,54
bpRNA_RFAM_37138,bpRNA_RFAM_42576,54
bpRNA_RFAM_37138,bpRNA_RFAM_42577,54
bpRNA_RFAM_37138,bpRNA_RFAM_42584,52
bpRNA_RFAM_37138,bpRNA_RFAM_42585,52
bpRNA_RFAM_37138,bpRNA_RFAM_42587,78
bpRNA_RFAM_37138,bpRNA_RFAM_42602,78
bpRNA_RFAM_37138,bpRNA_RFAM_42603,60
bpRNA_RFAM_37138,bpRNA_RFAM_5814,65
bpRNA_RFAM_37138,bpRNA_RFAM_5815,62
bpRNA_RFAM_37138,bpRNA_RFAM_5967,71
bpRNA_RFAM_37138,bpRNA_RFAM_5968,70
bpRNA_RFAM_37138,bpRNA_RFAM_5969,70
bpRNA_RFAM_37138,bpRNA_RFAM_5970,70
bpRNA_RFAM_37138,bpRNA_RFAM_5971,70
bpRNA_RFAM_37138,bpRNA_RFAM_670,74
bpRNA_RFAM_37140,bpRNA_RFAM_37142,0
bpRNA_RFAM_37140,bpRNA_RFAM_37143,0
bpRNA_RFAM_37140,bpRNA_RFAM_37146,0
bpRNA_RFAM_37140,bpRNA_RFAM_37149,0
bpRNA_RFAM_37140,bpRNA_RFAM_37151,0
bpRNA_RFAM_37140,bpRNA_RFAM_37153,0
bpRNA_RFAM_37140,bpRNA_RFAM_38668,80
bpRNA_RFAM_37140,bpRNA_RFAM_42542,72
bpRNA_RFAM_37140,bpRNA_RFAM_42545,72
bpRNA_RFAM_37140,bpRNA_RFAM_42548,72
bpRNA_RFAM_37140,bpRNA_RFAM_42550,72
bpRNA_RFAM_37140,bpRNA_RFAM_42552,72
bpRNA_RFAM_37140,bpRNA_RFAM_42554,76
bpRNA_RFAM_37140,bpRNA_RFAM_42556,72
bpRNA_RFAM_37140,bpRNA_RFAM_42558,72
bpRNA_RFAM_37140,bpRNA_RFAM_42563,54
bpRNA_RFAM_37140,bpRNA_RFAM_42565,54
bpRNA_RFAM_37140,bpRNA_RFAM_42569,54
bpRNA_RFAM_37140,bpRNA_RFAM_42570,54
bpRNA_RFAM_37140,bpRNA_RFAM_42574,54
bpRNA_RFAM_37140,bpRNA_RFAM_42576,54
bpRNA_RFAM_37140,bpRNA_RFAM_42577,54
bpRNA_RFAM_37140,bpRNA_RFAM_42584,52
bpRNA_RFAM_37140,bpRNA_RFAM_42585,52
bpRNA_RFAM_37140,bpRNA_RFAM_42587,78
bpRNA_RFAM_37140,bpRNA_RFAM_42602,78
bpRNA_RFAM_37140,bpRNA_RFAM_42603,60
bpRNA_RFAM_37140,bpRNA_RFAM_5814,65
bpRNA_RFAM_37140,bpRNA_RFAM_5815,62
bpRNA_RFAM_37140,bpRNA_RFAM_5967,71
bpRNA_RFAM_37140,bpRNA_RFAM_5968,70
bpRNA_RFAM_37140,bpRNA_RFAM_5969,70
bpRNA_RFAM_37140,bpRNA_RFAM_5970,70
bpRNA_RFAM_37140,bpRNA_RFAM_5971,70
bpRNA_RFAM_37140,bpRNA_RFAM_670,74
bpRNA_RFAM_37142,bpRNA_RFAM_37143,0
bpRNA_RFAM_37142,bpRNA_RFAM_37146,0
bpRNA_RFAM_37142,bpRNA_RFAM_37149,0
bpRNA_RFAM_37142,bpRNA_RFAM_37151,0
bpRNA_RFAM_37142,bpRNA_RFAM_37153,0
bpRNA_RFAM_37142,bpRNA_RFAM_38668,80
bpRNA_RFAM_37142,bpRNA_RFAM_42542,72
bpRNA_RFAM_37142,bpRNA_RFAM_42545,72
bpRNA_RFAM_37142,bpRNA_RFAM_42548,72
bpRNA_RFAM_37142,bpRNA_RFAM_42550,72
bpRNA_RFAM_37142,bpRNA_RFAM_42552,72
bpRNA_RFAM_37142,bpRNA_RFAM_42554,76
bpRNA_RFAM_37142,bpRNA_RFAM_42556,72
bpRNA_RFAM_37142,bpRNA_RFAM_42558,72
bpRNA_RFAM_37142,bpRNA_RFAM_42563,54
bpRNA_RFAM_37142,bpRNA_RFAM_42565,54
bpRNA_RFAM_37142,bpRNA_RFAM_42569,54
bpRNA_RFAM_37142,bpRNA_RFAM_42570,54
bpRNA_RFAM_37142,bpRNA_RFAM_42574,54
bpRNA_RFAM_37142,bpRNA_RFAM_42576,54
bpRNA_RFAM_37142,bpRNA_RFAM_42577,54
bpRNA_RFAM_37142,bpRNA_RFAM_42584,52
bpRNA_RFAM_37142,bpRNA_RFAM_42585,52
bpRNA_RFAM_37142,bpRNA_RFAM_42587,78
bpRNA_RFAM_37142,bpRNA_RFAM_42602,78
bpRNA_RFAM_37142,bpRNA_RFAM_42603,60
bpRNA_RFAM_37142,bpRNA_RFAM_5814,65
bpRNA_RFAM_37142,bpRNA_RFAM_5815,62
bpRNA_RFAM_37142,bpRNA_RFAM_5967,71
