Molecule 1,Molecule 2,Distance
CRW-5S_A_C_20_nH,CRW-5S_A_C_22_nH,600.0
CRW-5S_A_C_20_nH,CRW-5S_A_C_23_nH,400.0
CRW-5S_A_C_20_nH,CRW-5S_A_C_24_nH,400.0
CRW-5S_A_C_20_nH,CRW-5S_A_C_25_nH,400.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_10_nH,400.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_11_nH,1000.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_12_nH,1000.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_13_nH,400.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_14_nH,400.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_15_nH,800.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_16_nH,200.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_17_nH,1000.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_18_nH,600.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_19_nH,1400.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_21_nH,600.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_26_nH,600.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_27_nH,800.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_2_nH,1400.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_3_nH,1400.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_4_nH,1200.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_5_nH,1200.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_6_nH,1200.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_7_nH,1200.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_8_nH,1400.0
CRW-5S_A_C_20_nH,CRW-5S_A_E_9_nH,800.0
CRW-5S_A_C_22_nH,CRW-5S_A_C_23_nH,600.0
CRW-5S_A_C_22_nH,CRW-5S_A_C_24_nH,600.0
CRW-5S_A_C_22_nH,CRW-5S_A_C_25_nH,600.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_10_nH,600.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_11_nH,1200.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_12_nH,1200.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_13_nH,600.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_14_nH,600.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_15_nH,1000.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_16_nH,400.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_17_nH,1200.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_18_nH,800.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_19_nH,1600.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_21_nH,800.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_26_nH,800.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_27_nH,1000.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_2_nH,1600.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_3_nH,1600.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_4_nH,1400.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_5_nH,1400.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_6_nH,1400.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_7_nH,1400.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_8_nH,1600.0
CRW-5S_A_C_22_nH,CRW-5S_A_E_9_nH,1000.0
CRW-5S_A_C_23_nH,CRW-5S_A_C_24_nH,0.0
CRW-5S_A_C_23_nH,CRW-5S_A_C_25_nH,0.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_10_nH,0.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_11_nH,600.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_12_nH,600.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_13_nH,0.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_14_nH,0.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_15_nH,400.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_16_nH,200.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_17_nH,600.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_18_nH,200.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_19_nH,1000.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_21_nH,200.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_26_nH,200.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_27_nH,400.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_2_nH,1000.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_3_nH,1000.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_4_nH,800.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_5_nH,800.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_6_nH,800.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_7_nH,800.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_8_nH,1000.0
CRW-5S_A_C_23_nH,CRW-5S_A_E_9_nH,400.0
CRW-5S_A_C_24_nH,CRW-5S_A_C_25_nH,0.0
CRW-5S_A_C_24_nH,CRW-5S_A_E_10_nH,0.0
CRW-5S_A_C_24_nH,CRW-5S_A_E_11_nH,600.0
CRW-5S_A_C_24_nH,CRW-5S_A_E_12_nH,600.0
CRW-5S_A_C_24_nH,CRW-5S_A_E_13_nH,0.0
CRW-5S_A_C_24_nH,CRW-5S_A_E_14_nH,0.0
CRW-5S_A_C_24_nH,CRW-5S_A_E_15_nH,400.0
CRW-5S_A_C_24_nH,CRW-5S_A_E_16_nH,200.0
CRW-5S_A_C_24_nH,CRW-5S_A_E_17_nH,600.0
