Molecule 1,Molecule 2,Distance
CRW-5S_A_C_20,CRW-5S_A_C_22,11
CRW-5S_A_C_20,CRW-5S_A_C_23,9
CRW-5S_A_C_20,CRW-5S_A_C_24,9
CRW-5S_A_C_20,CRW-5S_A_C_25,9
CRW-5S_A_C_20,CRW-5S_A_E_10,13
CRW-5S_A_C_20,CRW-5S_A_E_11,19
CRW-5S_A_C_20,CRW-5S_A_E_12,19
CRW-5S_A_C_20,CRW-5S_A_E_13,13
CRW-5S_A_C_20,CRW-5S_A_E_14,13
CRW-5S_A_C_20,CRW-5S_A_E_15,18
CRW-5S_A_C_20,CRW-5S_A_E_16,13
CRW-5S_A_C_20,CRW-5S_A_E_17,19
CRW-5S_A_C_20,CRW-5S_A_E_18,15
CRW-5S_A_C_20,CRW-5S_A_E_19,22
CRW-5S_A_C_20,CRW-5S_A_E_21,15
CRW-5S_A_C_20,CRW-5S_A_E_26,14
CRW-5S_A_C_20,CRW-5S_A_E_27,14
CRW-5S_A_C_20,CRW-5S_A_E_2,19
CRW-5S_A_C_20,CRW-5S_A_E_3,22
CRW-5S_A_C_20,CRW-5S_A_E_4,20
CRW-5S_A_C_20,CRW-5S_A_E_5,20
CRW-5S_A_C_20,CRW-5S_A_E_6,23
CRW-5S_A_C_20,CRW-5S_A_E_7,22
CRW-5S_A_C_20,CRW-5S_A_E_8,19
CRW-5S_A_C_20,CRW-5S_A_E_9,14
CRW-5S_A_C_22,CRW-5S_A_C_23,10
CRW-5S_A_C_22,CRW-5S_A_C_24,10
CRW-5S_A_C_22,CRW-5S_A_C_25,10
CRW-5S_A_C_22,CRW-5S_A_E_10,12
CRW-5S_A_C_22,CRW-5S_A_E_11,18
CRW-5S_A_C_22,CRW-5S_A_E_12,18
CRW-5S_A_C_22,CRW-5S_A_E_13,12
CRW-5S_A_C_22,CRW-5S_A_E_14,14
CRW-5S_A_C_22,CRW-5S_A_E_15,19
CRW-5S_A_C_22,CRW-5S_A_E_16,12
CRW-5S_A_C_22,CRW-5S_A_E_17,18
CRW-5S_A_C_22,CRW-5S_A_E_18,14
CRW-5S_A_C_22,CRW-5S_A_E_19,27
CRW-5S_A_C_22,CRW-5S_A_E_21,14
CRW-5S_A_C_22,CRW-5S_A_E_26,15
CRW-5S_A_C_22,CRW-5S_A_E_27,15
CRW-5S_A_C_22,CRW-5S_A_E_2,24
CRW-5S_A_C_22,CRW-5S_A_E_3,23
CRW-5S_A_C_22,CRW-5S_A_E_4,21
CRW-5S_A_C_22,CRW-5S_A_E_5,21
CRW-5S_A_C_22,CRW-5S_A_E_6,18
CRW-5S_A_C_22,CRW-5S_A_E_7,21
CRW-5S_A_C_22,CRW-5S_A_E_8,24
CRW-5S_A_C_22,CRW-5S_A_E_9,13
CRW-5S_A_C_23,CRW-5S_A_C_24,0
CRW-5S_A_C_23,CRW-5S_A_C_25,0
CRW-5S_A_C_23,CRW-5S_A_E_10,8
CRW-5S_A_C_23,CRW-5S_A_E_11,14
CRW-5S_A_C_23,CRW-5S_A_E_12,14
CRW-5S_A_C_23,CRW-5S_A_E_13,10
CRW-5S_A_C_23,CRW-5S_A_E_14,6
CRW-5S_A_C_23,CRW-5S_A_E_15,11
CRW-5S_A_C_23,CRW-5S_A_E_16,12
CRW-5S_A_C_23,CRW-5S_A_E_17,14
CRW-5S_A_C_23,CRW-5S_A_E_18,10
CRW-5S_A_C_23,CRW-5S_A_E_19,19
CRW-5S_A_C_23,CRW-5S_A_E_21,10
CRW-5S_A_C_23,CRW-5S_A_E_26,7
CRW-5S_A_C_23,CRW-5S_A_E_27,7
CRW-5S_A_C_23,CRW-5S_A_E_2,18
CRW-5S_A_C_23,CRW-5S_A_E_3,17
CRW-5S_A_C_23,CRW-5S_A_E_4,15
CRW-5S_A_C_23,CRW-5S_A_E_5,15
CRW-5S_A_C_23,CRW-5S_A_E_6,18
CRW-5S_A_C_23,CRW-5S_A_E_7,17
CRW-5S_A_C_23,CRW-5S_A_E_8,18
CRW-5S_A_C_23,CRW-5S_A_E_9,9
CRW-5S_A_C_24,CRW-5S_A_C_25,0
CRW-5S_A_C_24,CRW-5S_A_E_10,8
CRW-5S_A_C_24,CRW-5S_A_E_11,14
CRW-5S_A_C_24,CRW-5S_A_E_12,14
CRW-5S_A_C_24,CRW-5S_A_E_13,10
CRW-5S_A_C_24,CRW-5S_A_E_14,6
CRW-5S_A_C_24,CRW-5S_A_E_15,11
CRW-5S_A_C_24,CRW-5S_A_E_16,12
CRW-5S_A_C_24,CRW-5S_A_E_17,14
CRW-5S_A_C_24,CRW-5S_A_E_18,10
CRW-5S_A_C_24,CRW-5S_A_E_19,19
CRW-5S_A_C_24,CRW-5S_A_E_21,10
CRW-5S_A_C_24,CRW-5S_A_E_26,7
CRW-5S_A_C_24,CRW-5S_A_E_27,7
CRW-5S_A_C_24,CRW-5S_A_E_2,18
CRW-5S_A_C_24,CRW-5S_A_E_3,17
CRW-5S_A_C_24,CRW-5S_A_E_4,15
CRW-5S_A_C_24,CRW-5S_A_E_5,15
CRW-5S_A_C_24,CRW-5S_A_E_6,18
CRW-5S_A_C_24,CRW-5S_A_E_7,17
CRW-5S_A_C_24,CRW-5S_A_E_8,18
CRW-5S_A_C_24,CRW-5S_A_E_9,9
CRW-5S_A_C_25,CRW-5S_A_E_10,8
CRW-5S_A_C_25,CRW-5S_A_E_11,14
CRW-5S_A_C_25,CRW-5S_A_E_12,14
CRW-5S_A_C_25,CRW-5S_A_E_13,10
CRW-5S_A_C_25,CRW-5S_A_E_14,6
CRW-5S_A_C_25,CRW-5S_A_E_15,11
CRW-5S_A_C_25,CRW-5S_A_E_16,12
CRW-5S_A_C_25,CRW-5S_A_E_17,14
