Molecule 1,Molecule 2,Distance
CRW-5S_A_C_20,CRW-5S_A_C_22,600.0
CRW-5S_A_C_20,CRW-5S_A_C_23,400.0
CRW-5S_A_C_20,CRW-5S_A_C_24,400.0
CRW-5S_A_C_20,CRW-5S_A_C_25,400.0
CRW-5S_A_C_20,CRW-5S_A_E_10,400.0
CRW-5S_A_C_20,CRW-5S_A_E_11,1000.0
CRW-5S_A_C_20,CRW-5S_A_E_12,1000.0
CRW-5S_A_C_20,CRW-5S_A_E_13,400.0
CRW-5S_A_C_20,CRW-5S_A_E_14,400.0
CRW-5S_A_C_20,CRW-5S_A_E_15,800.0
CRW-5S_A_C_20,CRW-5S_A_E_16,200.0
CRW-5S_A_C_20,CRW-5S_A_E_17,1000.0
CRW-5S_A_C_20,CRW-5S_A_E_18,600.0
CRW-5S_A_C_20,CRW-5S_A_E_19,1400.0
CRW-5S_A_C_20,CRW-5S_A_E_21,600.0
CRW-5S_A_C_20,CRW-5S_A_E_26,600.0
CRW-5S_A_C_20,CRW-5S_A_E_27,800.0
CRW-5S_A_C_20,CRW-5S_A_E_2,1400.0
CRW-5S_A_C_20,CRW-5S_A_E_3,1400.0
CRW-5S_A_C_20,CRW-5S_A_E_4,1200.0
CRW-5S_A_C_20,CRW-5S_A_E_5,1200.0
CRW-5S_A_C_20,CRW-5S_A_E_6,1200.0
CRW-5S_A_C_20,CRW-5S_A_E_7,1200.0
CRW-5S_A_C_20,CRW-5S_A_E_8,1400.0
CRW-5S_A_C_20,CRW-5S_A_E_9,800.0
CRW-5S_A_C_22,CRW-5S_A_C_23,600.0
CRW-5S_A_C_22,CRW-5S_A_C_24,600.0
CRW-5S_A_C_22,CRW-5S_A_C_25,600.0
CRW-5S_A_C_22,CRW-5S_A_E_10,600.0
CRW-5S_A_C_22,CRW-5S_A_E_11,1200.0
CRW-5S_A_C_22,CRW-5S_A_E_12,1200.0
CRW-5S_A_C_22,CRW-5S_A_E_13,600.0
CRW-5S_A_C_22,CRW-5S_A_E_14,600.0
CRW-5S_A_C_22,CRW-5S_A_E_15,1000.0
CRW-5S_A_C_22,CRW-5S_A_E_16,400.0
CRW-5S_A_C_22,CRW-5S_A_E_17,1200.0
CRW-5S_A_C_22,CRW-5S_A_E_18,800.0
CRW-5S_A_C_22,CRW-5S_A_E_19,1600.0
CRW-5S_A_C_22,CRW-5S_A_E_21,800.0
CRW-5S_A_C_22,CRW-5S_A_E_26,800.0
CRW-5S_A_C_22,CRW-5S_A_E_27,1000.0
CRW-5S_A_C_22,CRW-5S_A_E_2,1600.0
CRW-5S_A_C_22,CRW-5S_A_E_3,1600.0
CRW-5S_A_C_22,CRW-5S_A_E_4,1400.0
CRW-5S_A_C_22,CRW-5S_A_E_5,1400.0
CRW-5S_A_C_22,CRW-5S_A_E_6,1400.0
CRW-5S_A_C_22,CRW-5S_A_E_7,1400.0
CRW-5S_A_C_22,CRW-5S_A_E_8,1600.0
CRW-5S_A_C_22,CRW-5S_A_E_9,1000.0
CRW-5S_A_C_23,CRW-5S_A_C_24,0.0
CRW-5S_A_C_23,CRW-5S_A_C_25,0.0
CRW-5S_A_C_23,CRW-5S_A_E_10,0.0
CRW-5S_A_C_23,CRW-5S_A_E_11,600.0
CRW-5S_A_C_23,CRW-5S_A_E_12,600.0
CRW-5S_A_C_23,CRW-5S_A_E_13,0.0
CRW-5S_A_C_23,CRW-5S_A_E_14,0.0
CRW-5S_A_C_23,CRW-5S_A_E_15,400.0
CRW-5S_A_C_23,CRW-5S_A_E_16,200.0
CRW-5S_A_C_23,CRW-5S_A_E_17,600.0
CRW-5S_A_C_23,CRW-5S_A_E_18,200.0
CRW-5S_A_C_23,CRW-5S_A_E_19,1000.0
CRW-5S_A_C_23,CRW-5S_A_E_21,200.0
CRW-5S_A_C_23,CRW-5S_A_E_26,200.0
CRW-5S_A_C_23,CRW-5S_A_E_27,400.0
CRW-5S_A_C_23,CRW-5S_A_E_2,1000.0
CRW-5S_A_C_23,CRW-5S_A_E_3,1000.0
CRW-5S_A_C_23,CRW-5S_A_E_4,800.0
CRW-5S_A_C_23,CRW-5S_A_E_5,800.0
CRW-5S_A_C_23,CRW-5S_A_E_6,800.0
CRW-5S_A_C_23,CRW-5S_A_E_7,800.0
CRW-5S_A_C_23,CRW-5S_A_E_8,1000.0
CRW-5S_A_C_23,CRW-5S_A_E_9,400.0
CRW-5S_A_C_24,CRW-5S_A_C_25,0.0
CRW-5S_A_C_24,CRW-5S_A_E_10,0.0
CRW-5S_A_C_24,CRW-5S_A_E_11,600.0
CRW-5S_A_C_24,CRW-5S_A_E_12,600.0
CRW-5S_A_C_24,CRW-5S_A_E_13,0.0
CRW-5S_A_C_24,CRW-5S_A_E_14,0.0
CRW-5S_A_C_24,CRW-5S_A_E_15,400.0
CRW-5S_A_C_24,CRW-5S_A_E_16,200.0
CRW-5S_A_C_24,CRW-5S_A_E_17,600.0
CRW-5S_A_C_24,CRW-5S_A_E_18,200.0
CRW-5S_A_C_24,CRW-5S_A_E_19,1000.0
CRW-5S_A_C_24,CRW-5S_A_E_21,200.0
CRW-5S_A_C_24,CRW-5S_A_E_26,200.0
CRW-5S_A_C_24,CRW-5S_A_E_27,400.0
CRW-5S_A_C_24,CRW-5S_A_E_2,1000.0
CRW-5S_A_C_24,CRW-5S_A_E_3,1000.0
CRW-5S_A_C_24,CRW-5S_A_E_4,800.0
CRW-5S_A_C_24,CRW-5S_A_E_5,800.0
CRW-5S_A_C_24,CRW-5S_A_E_6,800.0
CRW-5S_A_C_24,CRW-5S_A_E_7,800.0
CRW-5S_A_C_24,CRW-5S_A_E_8,1000.0
CRW-5S_A_C_24,CRW-5S_A_E_9,400.0
CRW-5S_A_C_25,CRW-5S_A_E_10,0.0
CRW-5S_A_C_25,CRW-5S_A_E_11,600.0
CRW-5S_A_C_25,CRW-5S_A_E_12,600.0
CRW-5S_A_C_25,CRW-5S_A_E_13,0.0
CRW-5S_A_C_25,CRW-5S_A_E_14,0.0
CRW-5S_A_C_25,CRW-5S_A_E_15,400.0
CRW-5S_A_C_25,CRW-5S_A_E_16,200.0
CRW-5S_A_C_25,CRW-5S_A_E_17,600.0
CRW-5S_A_C_25,CRW-5S_A_E_18,200.0
CRW-5S_A_C_25,CRW-5S_A_E_19,1000.0
CRW-5S_A_C_25,CRW-5S_A_E_21,200.0
CRW-5S_A_C_25,CRW-5S_A_E_26,200.0
CRW-5S_A_C_25,CRW-5S_A_E_27,400.0
CRW-5S_A_C_25,CRW-5S_A_E_2,1000.0
CRW-5S_A_C_25,CRW-5S_A_E_3,1000.0
CRW-5S_A_C_25,CRW-5S_A_E_4,800.0
CRW-5S_A_C_25,CRW-5S_A_E_5,800.0
CRW-5S_A_C_25,CRW-5S_A_E_6,800.0
CRW-5S_A_C_25,CRW-5S_A_E_7,800.0
CRW-5S_A_C_25,CRW-5S_A_E_8,1000.0
CRW-5S_A_C_25,CRW-5S_A_E_9,400.0
CRW-5S_A_E_10,CRW-5S_A_E_11,600.0
CRW-5S_A_E_10,CRW-5S_A_E_12,600.0
CRW-5S_A_E_10,CRW-5S_A_E_13,0.0
CRW-5S_A_E_10,CRW-5S_A_E_14,0.0
CRW-5S_A_E_10,CRW-5S_A_E_15,400.0
CRW-5S_A_E_10,CRW-5S_A_E_16,200.0
CRW-5S_A_E_10,CRW-5S_A_E_17,600.0
CRW-5S_A_E_10,CRW-5S_A_E_18,200.0
CRW-5S_A_E_10,CRW-5S_A_E_19,1000.0
CRW-5S_A_E_10,CRW-5S_A_E_21,200.0
CRW-5S_A_E_10,CRW-5S_A_E_26,200.0
CRW-5S_A_E_10,CRW-5S_A_E_27,400.0
CRW-5S_A_E_10,CRW-5S_A_E_2,1000.0
CRW-5S_A_E_10,CRW-5S_A_E_3,1000.0
CRW-5S_A_E_10,CRW-5S_A_E_4,800.0
CRW-5S_A_E_10,CRW-5S_A_E_5,800.0
CRW-5S_A_E_10,CRW-5S_A_E_6,800.0
CRW-5S_A_E_10,CRW-5S_A_E_7,800.0
CRW-5S_A_E_10,CRW-5S_A_E_8,1000.0
CRW-5S_A_E_10,CRW-5S_A_E_9,400.0
CRW-5S_A_E_11,CRW-5S_A_E_12,0.0
CRW-5S_A_E_11,CRW-5S_A_E_13,600.0
CRW-5S_A_E_11,CRW-5S_A_E_14,600.0
CRW-5S_A_E_11,CRW-5S_A_E_15,600.0
CRW-5S_A_E_11,CRW-5S_A_E_16,800.0
CRW-5S_A_E_11,CRW-5S_A_E_17,0.0
CRW-5S_A_E_11,CRW-5S_A_E_18,400.0
CRW-5S_A_E_11,CRW-5S_A_E_19,1600.0
CRW-5S_A_E_11,CRW-5S_A_E_21,800.0
CRW-5S_A_E_11,CRW-5S_A_E_26,800.0
CRW-5S_A_E_11,CRW-5S_A_E_27,1000.0
CRW-5S_A_E_11,CRW-5S_A_E_2,1600.0
CRW-5S_A_E_11,CRW-5S_A_E_3,1200.0
CRW-5S_A_E_11,CRW-5S_A_E_4,1400.0
CRW-5S_A_E_11,CRW-5S_A_E_5,1400.0
CRW-5S_A_E_11,CRW-5S_A_E_6,1400.0
CRW-5S_A_E_11,CRW-5S_A_E_7,1400.0
CRW-5S_A_E_11,CRW-5S_A_E_8,1600.0
CRW-5S_A_E_11,CRW-5S_A_E_9,1000.0
CRW-5S_A_E_12,CRW-5S_A_E_13,600.0
CRW-5S_A_E_12,CRW-5S_A_E_14,600.0
CRW-5S_A_E_12,CRW-5S_A_E_15,600.0
CRW-5S_A_E_12,CRW-5S_A_E_16,800.0
CRW-5S_A_E_12,CRW-5S_A_E_17,0.0
CRW-5S_A_E_12,CRW-5S_A_E_18,400.0
CRW-5S_A_E_12,CRW-5S_A_E_19,1600.0
CRW-5S_A_E_12,CRW-5S_A_E_21,800.0
CRW-5S_A_E_12,CRW-5S_A_E_26,800.0
CRW-5S_A_E_12,CRW-5S_A_E_27,1000.0
CRW-5S_A_E_12,CRW-5S_A_E_2,1600.0
CRW-5S_A_E_12,CRW-5S_A_E_3,1200.0
CRW-5S_A_E_12,CRW-5S_A_E_4,1400.0
CRW-5S_A_E_12,CRW-5S_A_E_5,1400.0
CRW-5S_A_E_12,CRW-5S_A_E_6,1400.0
CRW-5S_A_E_12,CRW-5S_A_E_7,1400.0
CRW-5S_A_E_12,CRW-5S_A_E_8,1600.0
CRW-5S_A_E_12,CRW-5S_A_E_9,1000.0
CRW-5S_A_E_13,CRW-5S_A_E_14,0.0
CRW-5S_A_E_13,CRW-5S_A_E_15,400.0
CRW-5S_A_E_13,CRW-5S_A_E_16,200.0
CRW-5S_A_E_13,CRW-5S_A_E_17,600.0
CRW-5S_A_E_13,CRW-5S_A_E_18,200.0
CRW-5S_A_E_13,CRW-5S_A_E_19,1000.0
CRW-5S_A_E_13,CRW-5S_A_E_21,200.0
CRW-5S_A_E_13,CRW-5S_A_E_26,200.0
CRW-5S_A_E_13,CRW-5S_A_E_27,400.0
CRW-5S_A_E_13,CRW-5S_A_E_2,1000.0
CRW-5S_A_E_13,CRW-5S_A_E_3,1000.0
CRW-5S_A_E_13,CRW-5S_A_E_4,800.0
CRW-5S_A_E_13,CRW-5S_A_E_5,800.0
CRW-5S_A_E_13,CRW-5S_A_E_6,800.0
CRW-5S_A_E_13,CRW-5S_A_E_7,800.0
CRW-5S_A_E_13,CRW-5S_A_E_8,1000.0
CRW-5S_A_E_13,CRW-5S_A_E_9,400.0
CRW-5S_A_E_14,CRW-5S_A_E_15,400.0
CRW-5S_A_E_14,CRW-5S_A_E_16,200.0
CRW-5S_A_E_14,CRW-5S_A_E_17,600.0
CRW-5S_A_E_14,CRW-5S_A_E_18,200.0
CRW-5S_A_E_14,CRW-5S_A_E_19,1000.0
CRW-5S_A_E_14,CRW-5S_A_E_21,200.0
CRW-5S_A_E_14,CRW-5S_A_E_26,200.0
CRW-5S_A_E_14,CRW-5S_A_E_27,400.0
CRW-5S_A_E_14,CRW-5S_A_E_2,1000.0
CRW-5S_A_E_14,CRW-5S_A_E_3,1000.0
CRW-5S_A_E_14,CRW-5S_A_E_4,800.0
CRW-5S_A_E_14,CRW-5S_A_E_5,800.0
CRW-5S_A_E_14,CRW-5S_A_E_6,800.0
CRW-5S_A_E_14,CRW-5S_A_E_7,800.0
CRW-5S_A_E_14,CRW-5S_A_E_8,1000.0
CRW-5S_A_E_14,CRW-5S_A_E_9,400.0
CRW-5S_A_E_15,CRW-5S_A_E_16,600.0
CRW-5S_A_E_15,CRW-5S_A_E_17,600.0
CRW-5S_A_E_15,CRW-5S_A_E_18,200.0
CRW-5S_A_E_15,CRW-5S_A_E_19,1000.0
CRW-5S_A_E_15,CRW-5S_A_E_21,200.0
CRW-5S_A_E_15,CRW-5S_A_E_26,200.0
CRW-5S_A_E_15,CRW-5S_A_E_27,400.0
CRW-5S_A_E_15,CRW-5S_A_E_2,1000.0
CRW-5S_A_E_15,CRW-5S_A_E_3,600.0
CRW-5S_A_E_15,CRW-5S_A_E_4,800.0
CRW-5S_A_E_15,CRW-5S_A_E_5,800.0
CRW-5S_A_E_15,CRW-5S_A_E_6,800.0
CRW-5S_A_E_15,CRW-5S_A_E_7,800.0
CRW-5S_A_E_15,CRW-5S_A_E_8,1000.0
CRW-5S_A_E_15,CRW-5S_A_E_9,400.0
CRW-5S_A_E_16,CRW-5S_A_E_17,800.0
CRW-5S_A_E_16,CRW-5S_A_E_18,400.0
