Molecule 1,Molecule 2,Distance
CRW-5S_A_C_20,CRW-5S_A_C_22,68.5
CRW-5S_A_C_20,CRW-5S_A_C_23,55
CRW-5S_A_C_20,CRW-5S_A_C_24,55
CRW-5S_A_C_20,CRW-5S_A_C_25,61
CRW-5S_A_C_20,CRW-5S_A_E_10,30
CRW-5S_A_C_20,CRW-5S_A_E_11,36
CRW-5S_A_C_20,CRW-5S_A_E_12,34
CRW-5S_A_C_20,CRW-5S_A_E_13,28.5
CRW-5S_A_C_20,CRW-5S_A_E_14,29.5
CRW-5S_A_C_20,CRW-5S_A_E_15,29.5
CRW-5S_A_C_20,CRW-5S_A_E_16,32.5
CRW-5S_A_C_20,CRW-5S_A_E_17,20
CRW-5S_A_C_20,CRW-5S_A_E_18,24.5
CRW-5S_A_C_20,CRW-5S_A_E_19,36.5
CRW-5S_A_C_20,CRW-5S_A_E_21,59
CRW-5S_A_C_20,CRW-5S_A_E_26,61
CRW-5S_A_C_20,CRW-5S_A_E_27,37
CRW-5S_A_C_20,CRW-5S_A_E_2,43
CRW-5S_A_C_20,CRW-5S_A_E_3,44
CRW-5S_A_C_20,CRW-5S_A_E_4,49
CRW-5S_A_C_20,CRW-5S_A_E_5,37.5
CRW-5S_A_C_20,CRW-5S_A_E_6,35.5
CRW-5S_A_C_20,CRW-5S_A_E_7,32.5
CRW-5S_A_C_20,CRW-5S_A_E_8,33
CRW-5S_A_C_20,CRW-5S_A_E_9,41.5
CRW-5S_A_C_22,CRW-5S_A_C_23,88
CRW-5S_A_C_22,CRW-5S_A_C_24,88
CRW-5S_A_C_22,CRW-5S_A_C_25,94
CRW-5S_A_C_22,CRW-5S_A_E_10,44.5
CRW-5S_A_C_22,CRW-5S_A_E_11,42.5
CRW-5S_A_C_22,CRW-5S_A_E_12,40.5
CRW-5S_A_C_22,CRW-5S_A_E_13,35
CRW-5S_A_C_22,CRW-5S_A_E_14,33.5
CRW-5S_A_C_22,CRW-5S_A_E_15,28.5
CRW-5S_A_C_22,CRW-5S_A_E_16,28
CRW-5S_A_C_22,CRW-5S_A_E_17,16
CRW-5S_A_C_22,CRW-5S_A_E_18,51
CRW-5S_A_C_22,CRW-5S_A_E_19,36
CRW-5S_A_C_22,CRW-5S_A_E_21,59.5
CRW-5S_A_C_22,CRW-5S_A_E_26,58.5
CRW-5S_A_C_22,CRW-5S_A_E_27,39
CRW-5S_A_C_22,CRW-5S_A_E_2,39.5
CRW-5S_A_C_22,CRW-5S_A_E_3,36.5
CRW-5S_A_C_22,CRW-5S_A_E_4,41.5
CRW-5S_A_C_22,CRW-5S_A_E_5,37.5
CRW-5S_A_C_22,CRW-5S_A_E_6,33.5
CRW-5S_A_C_22,CRW-5S_A_E_7,36
CRW-5S_A_C_22,CRW-5S_A_E_8,33
CRW-5S_A_C_22,CRW-5S_A_E_9,53.5
CRW-5S_A_C_23,CRW-5S_A_C_24,145.5
CRW-5S_A_C_23,CRW-5S_A_C_25,139.5
