Molecule 1,Molecule 2,Distance
CRW_5S_E_A_14,CRW_5S_E_A_30,110.5
CRW_5S_E_A_14,CRW_5S_E_A_31,111.5
CRW_5S_E_A_14,CRW_5S_E_A_68,111
CRW_5S_E_A_14,CRW_5S_E_A_91,113
CRW_5S_E_A_14,CRW_5S_E_E_28,73
CRW_5S_E_A_14,CRW_5S_E_E_29,75.5
CRW_5S_E_A_14,CRW_5S_E_E_94,61
CRW_5S_E_A_14,CRW_5S_E_E_95,55
CRW_5S_E_A_14,CRW_5S_E_F_50,53
CRW_5S_E_A_14,CRW_5S_E_F_52,62
CRW_5S_E_A_14,CRW_5S_E_F_7,52.5
CRW_5S_E_A_14,CRW_5S_E_F_82,49.5
CRW_5S_E_A_14,CRW_5S_E_F_86,73
CRW_5S_E_A_14,CRW_5S_E_M_11,72.5
CRW_5S_E_A_14,CRW_5S_E_M_12,59.5
CRW_5S_E_A_14,CRW_5S_E_M_15,67.5
CRW_5S_E_A_14,CRW_5S_E_M_16,50
CRW_5S_E_A_14,CRW_5S_E_M_17,50
CRW_5S_E_A_14,CRW_5S_E_M_18,72.5
CRW_5S_E_A_14,CRW_5S_E_M_19,67.5
CRW_5S_E_A_14,CRW_5S_E_M_20,53
CRW_5S_E_A_14,CRW_5S_E_M_22,69.5
CRW_5S_E_A_14,CRW_5S_E_M_23,72.5
CRW_5S_E_A_14,CRW_5S_E_M_24,68.5
CRW_5S_E_A_14,CRW_5S_E_M_25,57.5
CRW_5S_E_A_14,CRW_5S_E_M_26,70.5
CRW_5S_E_A_14,CRW_5S_E_M_2,70.5
CRW_5S_E_A_14,CRW_5S_E_M_38,68
CRW_5S_E_A_14,CRW_5S_E_M_39,70.5
CRW_5S_E_A_14,CRW_5S_E_M_3,68.5
CRW_5S_E_A_14,CRW_5S_E_M_40,70
CRW_5S_E_A_14,CRW_5S_E_M_41,50
CRW_5S_E_A_14,CRW_5S_E_M_42,71.5
CRW_5S_E_A_14,CRW_5S_E_M_43,71.5
CRW_5S_E_A_14,CRW_5S_E_M_44,71.5
CRW_5S_E_A_14,CRW_5S_E_M_45,71.5
CRW_5S_E_A_14,CRW_5S_E_M_46,71.5
CRW_5S_E_A_14,CRW_5S_E_M_48,69.5
CRW_5S_E_A_14,CRW_5S_E_M_57,71.5
CRW_5S_E_A_14,CRW_5S_E_M_59,68.5
CRW_5S_E_A_14,CRW_5S_E_M_5,65.5
CRW_5S_E_A_14,CRW_5S_E_M_60,66.5
CRW_5S_E_A_14,CRW_5S_E_M_61,71.5
CRW_5S_E_A_14,CRW_5S_E_M_64,52.5
CRW_5S_E_A_14,CRW_5S_E_M_65,74.5
CRW_5S_E_A_14,CRW_5S_E_M_6,54
CRW_5S_E_A_14,CRW_5S_E_M_72,65.5
CRW_5S_E_A_14,CRW_5S_E_M_75,63
CRW_5S_E_A_14,CRW_5S_E_M_76,71.5
CRW_5S_E_A_14,CRW_5S_E_M_77,72
