Molecule 1,Molecule 2,Distance
CRW-5S_A_C_20_nH,CRW-5S_A_C_22_nH,33
CRW-5S_A_C_20_nH,CRW-5S_A_C_23_nH,31
CRW-5S_A_C_20_nH,CRW-5S_A_C_24_nH,31
CRW-5S_A_C_20_nH,CRW-5S_A_C_25_nH,31
CRW-5S_A_C_20_nH,CRW-5S_A_E_10_nH,36
CRW-5S_A_C_20_nH,CRW-5S_A_E_11_nH,55
CRW-5S_A_C_20_nH,CRW-5S_A_E_12_nH,55
CRW-5S_A_C_20_nH,CRW-5S_A_E_13_nH,35
CRW-5S_A_C_20_nH,CRW-5S_A_E_14_nH,33
CRW-5S_A_C_20_nH,CRW-5S_A_E_15_nH,45
CRW-5S_A_C_20_nH,CRW-5S_A_E_16_nH,38
CRW-5S_A_C_20_nH,CRW-5S_A_E_17_nH,59
CRW-5S_A_C_20_nH,CRW-5S_A_E_18_nH,46
CRW-5S_A_C_20_nH,CRW-5S_A_E_19_nH,55
CRW-5S_A_C_20_nH,CRW-5S_A_E_21_nH,38
CRW-5S_A_C_20_nH,CRW-5S_A_E_26_nH,39
CRW-5S_A_C_20_nH,CRW-5S_A_E_27_nH,43
CRW-5S_A_C_20_nH,CRW-5S_A_E_2_nH,59
CRW-5S_A_C_20_nH,CRW-5S_A_E_3_nH,55
CRW-5S_A_C_20_nH,CRW-5S_A_E_4_nH,48
CRW-5S_A_C_20_nH,CRW-5S_A_E_5_nH,51
CRW-5S_A_C_20_nH,CRW-5S_A_E_6_nH,55
CRW-5S_A_C_20_nH,CRW-5S_A_E_7_nH,51
CRW-5S_A_C_20_nH,CRW-5S_A_E_8_nH,56
CRW-5S_A_C_20_nH,CRW-5S_A_E_9_nH,42
CRW-5S_A_C_22_nH,CRW-5S_A_C_23_nH,26
CRW-5S_A_C_22_nH,CRW-5S_A_C_24_nH,26
CRW-5S_A_C_22_nH,CRW-5S_A_C_25_nH,26
CRW-5S_A_C_22_nH,CRW-5S_A_E_10_nH,34
CRW-5S_A_C_22_nH,CRW-5S_A_E_11_nH,55
CRW-5S_A_C_22_nH,CRW-5S_A_E_12_nH,55
CRW-5S_A_C_22_nH,CRW-5S_A_E_13_nH,28
CRW-5S_A_C_22_nH,CRW-5S_A_E_14_nH,31
CRW-5S_A_C_22_nH,CRW-5S_A_E_15_nH,46
CRW-5S_A_C_22_nH,CRW-5S_A_E_16_nH,37
CRW-5S_A_C_22_nH,CRW-5S_A_E_17_nH,57
CRW-5S_A_C_22_nH,CRW-5S_A_E_18_nH,41
CRW-5S_A_C_22_nH,CRW-5S_A_E_19_nH,58
CRW-5S_A_C_22_nH,CRW-5S_A_E_21_nH,36
CRW-5S_A_C_22_nH,CRW-5S_A_E_26_nH,38
CRW-5S_A_C_22_nH,CRW-5S_A_E_27_nH,42
CRW-5S_A_C_22_nH,CRW-5S_A_E_2_nH,62
CRW-5S_A_C_22_nH,CRW-5S_A_E_3_nH,59
CRW-5S_A_C_22_nH,CRW-5S_A_E_4_nH,52
CRW-5S_A_C_22_nH,CRW-5S_A_E_5_nH,52
CRW-5S_A_C_22_nH,CRW-5S_A_E_6_nH,57
CRW-5S_A_C_22_nH,CRW-5S_A_E_7_nH,55
CRW-5S_A_C_22_nH,CRW-5S_A_E_8_nH,59
CRW-5S_A_C_22_nH,CRW-5S_A_E_9_nH,39
CRW-5S_A_C_23_nH,CRW-5S_A_C_24_nH,1
CRW-5S_A_C_23_nH,CRW-5S_A_C_25_nH,1
CRW-5S_A_C_23_nH,CRW-5S_A_E_10_nH,25
CRW-5S_A_C_23_nH,CRW-5S_A_E_11_nH,44
CRW-5S_A_C_23_nH,CRW-5S_A_E_12_nH,44
CRW-5S_A_C_23_nH,CRW-5S_A_E_13_nH,29
CRW-5S_A_C_23_nH,CRW-5S_A_E_14_nH,25
CRW-5S_A_C_23_nH,CRW-5S_A_E_15_nH,35
CRW-5S_A_C_23_nH,CRW-5S_A_E_16_nH,35
CRW-5S_A_C_23_nH,CRW-5S_A_E_17_nH,47
CRW-5S_A_C_23_nH,CRW-5S_A_E_18_nH,31
CRW-5S_A_C_23_nH,CRW-5S_A_E_19_nH,46
CRW-5S_A_C_23_nH,CRW-5S_A_E_21_nH,28
CRW-5S_A_C_23_nH,CRW-5S_A_E_26_nH,27
CRW-5S_A_C_23_nH,CRW-5S_A_E_27_nH,31
CRW-5S_A_C_23_nH,CRW-5S_A_E_2_nH,52
CRW-5S_A_C_23_nH,CRW-5S_A_E_3_nH,49
CRW-5S_A_C_23_nH,CRW-5S_A_E_4_nH,43
CRW-5S_A_C_23_nH,CRW-5S_A_E_5_nH,43
CRW-5S_A_C_23_nH,CRW-5S_A_E_6_nH,46
CRW-5S_A_C_23_nH,CRW-5S_A_E_7_nH,47
CRW-5S_A_C_23_nH,CRW-5S_A_E_8_nH,50
CRW-5S_A_C_23_nH,CRW-5S_A_E_9_nH,32
CRW-5S_A_C_24_nH,CRW-5S_A_C_25_nH,0
CRW-5S_A_C_24_nH,CRW-5S_A_E_10_nH,25
CRW-5S_A_C_24_nH,CRW-5S_A_E_11_nH,44
CRW-5S_A_C_24_nH,CRW-5S_A_E_12_nH,44
CRW-5S_A_C_24_nH,CRW-5S_A_E_13_nH,29
CRW-5S_A_C_24_nH,CRW-5S_A_E_14_nH,25
