Molecule 1,Molecule 2,Distance
CRW_5S_B_Ac_30_nH,CRW_5S_B_Ac_44_nH,100
CRW_5S_B_Ac_30_nH,CRW_5S_B_Ac_4_nH,88.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_Ac_7_nH,117.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_Ac_8_nH,118.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_B_18_nH,102.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_Cy_51_nH,35
CRW_5S_B_Ac_30_nH,CRW_5S_B_D_13_nH,45
CRW_5S_B_Ac_30_nH,CRW_5S_B_D_14_nH,45
CRW_5S_B_Ac_30_nH,CRW_5S_B_D_15_nH,45
CRW_5S_B_Ac_30_nH,CRW_5S_B_D_53_nH,72
CRW_5S_B_Ac_30_nH,CRW_5S_B_D_54_nH,65.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_D_55_nH,67
CRW_5S_B_Ac_30_nH,CRW_5S_B_D_56_nH,66
CRW_5S_B_Ac_30_nH,CRW_5S_B_F_11_nH,57.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_F_22_nH,67
CRW_5S_B_Ac_30_nH,CRW_5S_B_F_23_nH,65
CRW_5S_B_Ac_30_nH,CRW_5S_B_F_24_nH,47.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_F_25_nH,63
CRW_5S_B_Ac_30_nH,CRW_5S_B_F_49_nH,60.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_F_50_nH,63.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_10_nH,42.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_12_nH,44.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_16_nH,46.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_17_nH,52
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_19_nH,54
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_1_nH,58
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_26_nH,44
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_27_nH,76
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_28_nH,54
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_29_nH,56.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_2_nH,52.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_33_nH,52.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_34_nH,49
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_35_nH,50.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_37_nH,52
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_38_nH,50
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_39_nH,42.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_3_nH,53.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_40_nH,44.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_41_nH,43
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_42_nH,43.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_43_nH,63
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_45_nH,78
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_46_nH,52
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_47_nH,50
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_48_nH,56
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_57_nH,46
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_58_nH,48
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_59_nH,53
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_5_nH,59.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_60_nH,46
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_61_nH,50.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_62_nH,46
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_63_nH,52
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_64_nH,50.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_65_nH,46
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_66_nH,54.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_67_nH,48
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_68_nH,48
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_69_nH,51
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_6_nH,44.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_70_nH,49.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_71_nH,47.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_72_nH,52
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_73_nH,48.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_74_nH,49
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_75_nH,56.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_76_nH,50
CRW_5S_B_Ac_30_nH,CRW_5S_B_Te_31_nH,35.5
CRW_5S_B_Ac_30_nH,CRW_5S_B_Te_32_nH,34
CRW_5S_B_Ac_44_nH,CRW_5S_B_Ac_4_nH,95
CRW_5S_B_Ac_44_nH,CRW_5S_B_Ac_7_nH,99
CRW_5S_B_Ac_44_nH,CRW_5S_B_Ac_8_nH,102
CRW_5S_B_Ac_44_nH,CRW_5S_B_B_18_nH,103
CRW_5S_B_Ac_44_nH,CRW_5S_B_Cy_51_nH,39
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_13_nH,41.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_14_nH,41.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_15_nH,41.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_53_nH,62.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_54_nH,60.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_55_nH,64.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_56_nH,67.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_11_nH,61.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_22_nH,71.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_23_nH,69.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_24_nH,42.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_25_nH,60.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_49_nH,63
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_50_nH,54
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_10_nH,36.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_12_nH,44
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_16_nH,43.5
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_17_nH,54
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_19_nH,45
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_1_nH,57
