Molecule 1,Molecule 2,Distance
CRW-5S_A_C_20,CRW-5S_A_C_22,33
CRW-5S_A_C_20,CRW-5S_A_C_23,31
CRW-5S_A_C_20,CRW-5S_A_C_24,31
CRW-5S_A_C_20,CRW-5S_A_C_25,31
CRW-5S_A_C_20,CRW-5S_A_E_10,36
CRW-5S_A_C_20,CRW-5S_A_E_11,55
CRW-5S_A_C_20,CRW-5S_A_E_12,55
CRW-5S_A_C_20,CRW-5S_A_E_13,35
CRW-5S_A_C_20,CRW-5S_A_E_14,33
CRW-5S_A_C_20,CRW-5S_A_E_15,45
CRW-5S_A_C_20,CRW-5S_A_E_16,38
CRW-5S_A_C_20,CRW-5S_A_E_17,59
CRW-5S_A_C_20,CRW-5S_A_E_18,46
CRW-5S_A_C_20,CRW-5S_A_E_19,55
CRW-5S_A_C_20,CRW-5S_A_E_21,38
CRW-5S_A_C_20,CRW-5S_A_E_26,39
CRW-5S_A_C_20,CRW-5S_A_E_27,43
CRW-5S_A_C_20,CRW-5S_A_E_2,59
CRW-5S_A_C_20,CRW-5S_A_E_3,55
CRW-5S_A_C_20,CRW-5S_A_E_4,48
CRW-5S_A_C_20,CRW-5S_A_E_5,51
CRW-5S_A_C_20,CRW-5S_A_E_6,55
CRW-5S_A_C_20,CRW-5S_A_E_7,51
CRW-5S_A_C_20,CRW-5S_A_E_8,56
CRW-5S_A_C_20,CRW-5S_A_E_9,42
CRW-5S_A_C_22,CRW-5S_A_C_23,26
CRW-5S_A_C_22,CRW-5S_A_C_24,26
CRW-5S_A_C_22,CRW-5S_A_C_25,26
CRW-5S_A_C_22,CRW-5S_A_E_10,34
CRW-5S_A_C_22,CRW-5S_A_E_11,55
CRW-5S_A_C_22,CRW-5S_A_E_12,55
CRW-5S_A_C_22,CRW-5S_A_E_13,28
CRW-5S_A_C_22,CRW-5S_A_E_14,31
CRW-5S_A_C_22,CRW-5S_A_E_15,46
CRW-5S_A_C_22,CRW-5S_A_E_16,37
CRW-5S_A_C_22,CRW-5S_A_E_17,57
CRW-5S_A_C_22,CRW-5S_A_E_18,41
CRW-5S_A_C_22,CRW-5S_A_E_19,58
CRW-5S_A_C_22,CRW-5S_A_E_21,36
CRW-5S_A_C_22,CRW-5S_A_E_26,38
CRW-5S_A_C_22,CRW-5S_A_E_27,42
CRW-5S_A_C_22,CRW-5S_A_E_2,62
CRW-5S_A_C_22,CRW-5S_A_E_3,59
CRW-5S_A_C_22,CRW-5S_A_E_4,52
CRW-5S_A_C_22,CRW-5S_A_E_5,52
CRW-5S_A_C_22,CRW-5S_A_E_6,57
CRW-5S_A_C_22,CRW-5S_A_E_7,55
CRW-5S_A_C_22,CRW-5S_A_E_8,59
CRW-5S_A_C_22,CRW-5S_A_E_9,39
CRW-5S_A_C_23,CRW-5S_A_C_24,1
CRW-5S_A_C_23,CRW-5S_A_C_25,1
CRW-5S_A_C_23,CRW-5S_A_E_10,25
