Molecule 1,Molecule 2,Distance
CRW_5S_E_A_14_nH,CRW_5S_E_A_30_nH,110.5
CRW_5S_E_A_14_nH,CRW_5S_E_A_31_nH,111.5
CRW_5S_E_A_14_nH,CRW_5S_E_A_68_nH,111
CRW_5S_E_A_14_nH,CRW_5S_E_A_91_nH,113
CRW_5S_E_A_14_nH,CRW_5S_E_E_28_nH,73
CRW_5S_E_A_14_nH,CRW_5S_E_E_29_nH,75.5
CRW_5S_E_A_14_nH,CRW_5S_E_E_94_nH,61
CRW_5S_E_A_14_nH,CRW_5S_E_E_95_nH,55
CRW_5S_E_A_14_nH,CRW_5S_E_F_50_nH,53
CRW_5S_E_A_14_nH,CRW_5S_E_F_52_nH,62
CRW_5S_E_A_14_nH,CRW_5S_E_F_7_nH,52.5
CRW_5S_E_A_14_nH,CRW_5S_E_F_82_nH,49.5
CRW_5S_E_A_14_nH,CRW_5S_E_F_86_nH,73
CRW_5S_E_A_14_nH,CRW_5S_E_M_11_nH,72.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_12_nH,59.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_15_nH,67.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_16_nH,50
CRW_5S_E_A_14_nH,CRW_5S_E_M_17_nH,50
CRW_5S_E_A_14_nH,CRW_5S_E_M_18_nH,72.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_19_nH,67.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_20_nH,53
CRW_5S_E_A_14_nH,CRW_5S_E_M_22_nH,69.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_23_nH,72.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_24_nH,68.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_25_nH,57.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_26_nH,70.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_2_nH,70.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_38_nH,68
CRW_5S_E_A_14_nH,CRW_5S_E_M_39_nH,70.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_3_nH,68.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_40_nH,70
CRW_5S_E_A_14_nH,CRW_5S_E_M_41_nH,50
CRW_5S_E_A_14_nH,CRW_5S_E_M_42_nH,71.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_43_nH,71.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_44_nH,71.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_45_nH,71.5
CRW_5S_E_A_14_nH,CRW_5S_E_M_46_nH,71.5
