Molecule 1,Molecule 2,Distance
CRW-5S_A_C_20_nH,CRW-5S_A_C_22_nH,11
CRW-5S_A_C_20_nH,CRW-5S_A_C_23_nH,9
CRW-5S_A_C_20_nH,CRW-5S_A_C_24_nH,9
CRW-5S_A_C_20_nH,CRW-5S_A_C_25_nH,9
CRW-5S_A_C_20_nH,CRW-5S_A_E_10_nH,13
CRW-5S_A_C_20_nH,CRW-5S_A_E_11_nH,19
CRW-5S_A_C_20_nH,CRW-5S_A_E_12_nH,19
CRW-5S_A_C_20_nH,CRW-5S_A_E_13_nH,13
CRW-5S_A_C_20_nH,CRW-5S_A_E_14_nH,13
CRW-5S_A_C_20_nH,CRW-5S_A_E_15_nH,18
CRW-5S_A_C_20_nH,CRW-5S_A_E_16_nH,13
CRW-5S_A_C_20_nH,CRW-5S_A_E_17_nH,19
CRW-5S_A_C_20_nH,CRW-5S_A_E_18_nH,15
CRW-5S_A_C_20_nH,CRW-5S_A_E_19_nH,22
CRW-5S_A_C_20_nH,CRW-5S_A_E_21_nH,15
CRW-5S_A_C_20_nH,CRW-5S_A_E_26_nH,14
CRW-5S_A_C_20_nH,CRW-5S_A_E_27_nH,14
CRW-5S_A_C_20_nH,CRW-5S_A_E_2_nH,19
CRW-5S_A_C_20_nH,CRW-5S_A_E_3_nH,22
CRW-5S_A_C_20_nH,CRW-5S_A_E_4_nH,20
CRW-5S_A_C_20_nH,CRW-5S_A_E_5_nH,20
CRW-5S_A_C_20_nH,CRW-5S_A_E_6_nH,23
CRW-5S_A_C_20_nH,CRW-5S_A_E_7_nH,22
CRW-5S_A_C_20_nH,CRW-5S_A_E_8_nH,19
CRW-5S_A_C_20_nH,CRW-5S_A_E_9_nH,14
CRW-5S_A_C_22_nH,CRW-5S_A_C_23_nH,10
CRW-5S_A_C_22_nH,CRW-5S_A_C_24_nH,10
CRW-5S_A_C_22_nH,CRW-5S_A_C_25_nH,10
CRW-5S_A_C_22_nH,CRW-5S_A_E_10_nH,12
CRW-5S_A_C_22_nH,CRW-5S_A_E_11_nH,18
CRW-5S_A_C_22_nH,CRW-5S_A_E_12_nH,18
CRW-5S_A_C_22_nH,CRW-5S_A_E_13_nH,12
CRW-5S_A_C_22_nH,CRW-5S_A_E_14_nH,14
CRW-5S_A_C_22_nH,CRW-5S_A_E_15_nH,19
CRW-5S_A_C_22_nH,CRW-5S_A_E_16_nH,12
CRW-5S_A_C_22_nH,CRW-5S_A_E_17_nH,18
CRW-5S_A_C_22_nH,CRW-5S_A_E_18_nH,14
CRW-5S_A_C_22_nH,CRW-5S_A_E_19_nH,27
CRW-5S_A_C_22_nH,CRW-5S_A_E_21_nH,14
CRW-5S_A_C_22_nH,CRW-5S_A_E_26_nH,15
CRW-5S_A_C_22_nH,CRW-5S_A_E_27_nH,15
CRW-5S_A_C_22_nH,CRW-5S_A_E_2_nH,24
CRW-5S_A_C_22_nH,CRW-5S_A_E_3_nH,23
CRW-5S_A_C_22_nH,CRW-5S_A_E_4_nH,21
CRW-5S_A_C_22_nH,CRW-5S_A_E_5_nH,21
CRW-5S_A_C_22_nH,CRW-5S_A_E_6_nH,18
CRW-5S_A_C_22_nH,CRW-5S_A_E_7_nH,21
CRW-5S_A_C_22_nH,CRW-5S_A_E_8_nH,24
CRW-5S_A_C_22_nH,CRW-5S_A_E_9_nH,13
CRW-5S_A_C_23_nH,CRW-5S_A_C_24_nH,0
CRW-5S_A_C_23_nH,CRW-5S_A_C_25_nH,0
CRW-5S_A_C_23_nH,CRW-5S_A_E_10_nH,8
CRW-5S_A_C_23_nH,CRW-5S_A_E_11_nH,14
CRW-5S_A_C_23_nH,CRW-5S_A_E_12_nH,14
CRW-5S_A_C_23_nH,CRW-5S_A_E_13_nH,10
CRW-5S_A_C_23_nH,CRW-5S_A_E_14_nH,6
CRW-5S_A_C_23_nH,CRW-5S_A_E_15_nH,11
CRW-5S_A_C_23_nH,CRW-5S_A_E_16_nH,12
CRW-5S_A_C_23_nH,CRW-5S_A_E_17_nH,14
CRW-5S_A_C_23_nH,CRW-5S_A_E_18_nH,10
CRW-5S_A_C_23_nH,CRW-5S_A_E_19_nH,19
CRW-5S_A_C_23_nH,CRW-5S_A_E_21_nH,10
CRW-5S_A_C_23_nH,CRW-5S_A_E_26_nH,7
CRW-5S_A_C_23_nH,CRW-5S_A_E_27_nH,7
CRW-5S_A_C_23_nH,CRW-5S_A_E_2_nH,18
CRW-5S_A_C_23_nH,CRW-5S_A_E_3_nH,17
CRW-5S_A_C_23_nH,CRW-5S_A_E_4_nH,15
CRW-5S_A_C_23_nH,CRW-5S_A_E_5_nH,15
CRW-5S_A_C_23_nH,CRW-5S_A_E_6_nH,18
CRW-5S_A_C_23_nH,CRW-5S_A_E_7_nH,17
CRW-5S_A_C_23_nH,CRW-5S_A_E_8_nH,18
CRW-5S_A_C_23_nH,CRW-5S_A_E_9_nH,9
CRW-5S_A_C_24_nH,CRW-5S_A_C_25_nH,0
CRW-5S_A_C_24_nH,CRW-5S_A_E_10_nH,8
