Molecule, ValueS, ValueE
bpRNA_RFAM_37138,1.0,0.0
bpRNA_RFAM_37140,1.0,0.0
bpRNA_RFAM_37142,1.0,0.0
bpRNA_RFAM_37143,1.0,0.0
bpRNA_RFAM_37146,1.0,0.0
bpRNA_RFAM_37149,1.0,0.0
bpRNA_RFAM_37151,1.0,0.0
bpRNA_RFAM_37153,1.0,0.0
bpRNA_RFAM_38668,0.9,0.45
bpRNA_RFAM_42542,1.0,0.0
bpRNA_RFAM_42545,1.0,0.0
bpRNA_RFAM_42548,1.0,0.0
bpRNA_RFAM_42550,1.0,0.0
bpRNA_RFAM_42552,1.0,0.0
bpRNA_RFAM_42554,1.0,0.0
bpRNA_RFAM_42556,1.0,0.0
bpRNA_RFAM_42558,1.0,0.0
bpRNA_RFAM_42563,1.0,0.0
bpRNA_RFAM_42565,1.0,0.0
bpRNA_RFAM_42569,1.0,0.0
bpRNA_RFAM_42570,1.0,0.0
bpRNA_RFAM_42574,1.0,0.0
bpRNA_RFAM_42576,1.0,0.0
bpRNA_RFAM_42577,1.0,0.0
bpRNA_RFAM_42584,1.0,0.143594
bpRNA_RFAM_42585,1.0,0.143594
bpRNA_RFAM_42587,1.08541,0.328271
bpRNA_RFAM_42602,1.08541,0.328271
bpRNA_RFAM_42603,1.0,0.0
bpRNA_RFAM_5814,1.101269,0.733138
bpRNA_RFAM_5815,1.101269,0.733138
bpRNA_RFAM_5967,1.0,0.0
bpRNA_RFAM_5968,1.0,0.0
bpRNA_RFAM_5969,1.0,0.0
bpRNA_RFAM_5970,1.0,0.0
bpRNA_RFAM_5971,1.0,0.0
bpRNA_RFAM_670,1.123168,1.852743
