Molecule 1, Molecule 2, Distance
CRW_5S_E_A_14, CRW_5S_E_A_30,10.5
CRW_5S_E_A_14, CRW_5S_E_A_31,9.5
CRW_5S_E_A_14, CRW_5S_E_A_68,8.5
CRW_5S_E_A_14, CRW_5S_E_A_91,8.5
CRW_5S_E_A_14, CRW_5S_E_E_28,24.0
CRW_5S_E_A_14, CRW_5S_E_E_29,23.5
CRW_5S_E_A_14, CRW_5S_E_E_94,25.0
CRW_5S_E_A_14, CRW_5S_E_E_95,27.0
CRW_5S_E_A_14, CRW_5S_E_F_50,28.0
CRW_5S_E_A_14, CRW_5S_E_F_52,24.0
CRW_5S_E_A_14, CRW_5S_E_F_7,29.0
CRW_5S_E_A_14, CRW_5S_E_F_82,30.5
CRW_5S_E_A_14, CRW_5S_E_F_86,21.5
CRW_5S_E_A_14, CRW_5S_E_M_11,23.5
CRW_5S_E_A_14, CRW_5S_E_M_12,26.5
CRW_5S_E_A_14, CRW_5S_E_M_15,24.0
CRW_5S_E_A_14, CRW_5S_E_M_16,27.5
CRW_5S_E_A_14, CRW_5S_E_M_17,27.5
CRW_5S_E_A_14, CRW_5S_E_M_18,22.5
CRW_5S_E_A_14, CRW_5S_E_M_19,26.0
CRW_5S_E_A_14, CRW_5S_E_M_20,31.0
CRW_5S_E_A_14, CRW_5S_E_M_22,24.5
CRW_5S_E_A_14, CRW_5S_E_M_23,22.5
CRW_5S_E_A_14, CRW_5S_E_M_24,23.5
CRW_5S_E_A_14, CRW_5S_E_M_25,37.0
CRW_5S_E_A_14, CRW_5S_E_M_26,23.5
CRW_5S_E_A_14, CRW_5S_E_M_2,21.5
CRW_5S_E_A_14, CRW_5S_E_M_38,24.5
CRW_5S_E_A_14, CRW_5S_E_M_39,21.0
CRW_5S_E_A_14, CRW_5S_E_M_3,23.5
CRW_5S_E_A_14, CRW_5S_E_M_40,23.5
CRW_5S_E_A_14, CRW_5S_E_M_41,30.0
CRW_5S_E_A_14, CRW_5S_E_M_42,24.5
CRW_5S_E_A_14, CRW_5S_E_M_43,24.5
CRW_5S_E_A_14, CRW_5S_E_M_44,24.5
CRW_5S_E_A_14, CRW_5S_E_M_45,24.5
CRW_5S_E_A_14, CRW_5S_E_M_46,24.5
CRW_5S_E_A_14, CRW_5S_E_M_48,25.0
CRW_5S_E_A_14, CRW_5S_E_M_57,24.5
