Molecule 1,Molecule 2,Distance
bpRNA_RFAM_37138,bpRNA_RFAM_37140,8
bpRNA_RFAM_37138,bpRNA_RFAM_37142,17
bpRNA_RFAM_37138,bpRNA_RFAM_37143,15
bpRNA_RFAM_37138,bpRNA_RFAM_37146,11
bpRNA_RFAM_37138,bpRNA_RFAM_37149,18
bpRNA_RFAM_37138,bpRNA_RFAM_37151,22
bpRNA_RFAM_37138,bpRNA_RFAM_37153,25
bpRNA_RFAM_37138,bpRNA_RFAM_38668,201
bpRNA_RFAM_37138,bpRNA_RFAM_42542,186
bpRNA_RFAM_37138,bpRNA_RFAM_42545,188
bpRNA_RFAM_37138,bpRNA_RFAM_42548,190
bpRNA_RFAM_37138,bpRNA_RFAM_42550,188
bpRNA_RFAM_37138,bpRNA_RFAM_42552,189
bpRNA_RFAM_37138,bpRNA_RFAM_42554,195
bpRNA_RFAM_37138,bpRNA_RFAM_42556,188
bpRNA_RFAM_37138,bpRNA_RFAM_42558,189
bpRNA_RFAM_37138,bpRNA_RFAM_42563,163
bpRNA_RFAM_37138,bpRNA_RFAM_42565,163
bpRNA_RFAM_37138,bpRNA_RFAM_42569,166
bpRNA_RFAM_37138,bpRNA_RFAM_42570,167
bpRNA_RFAM_37138,bpRNA_RFAM_42574,163
bpRNA_RFAM_37138,bpRNA_RFAM_42576,162
bpRNA_RFAM_37138,bpRNA_RFAM_42577,162
bpRNA_RFAM_37138,bpRNA_RFAM_42584,126
bpRNA_RFAM_37138,bpRNA_RFAM_42585,126
bpRNA_RFAM_37138,bpRNA_RFAM_42587,208
bpRNA_RFAM_37138,bpRNA_RFAM_42602,208
bpRNA_RFAM_37138,bpRNA_RFAM_42603,137
bpRNA_RFAM_37138,bpRNA_RFAM_5814,154
bpRNA_RFAM_37138,bpRNA_RFAM_5815,147
bpRNA_RFAM_37138,bpRNA_RFAM_5967,155
bpRNA_RFAM_37138,bpRNA_RFAM_5968,160
bpRNA_RFAM_37138,bpRNA_RFAM_5969,156
bpRNA_RFAM_37138,bpRNA_RFAM_5970,161
bpRNA_RFAM_37138,bpRNA_RFAM_5971,154
bpRNA_RFAM_37138,bpRNA_RFAM_670,173
bpRNA_RFAM_37140,bpRNA_RFAM_37142,16
bpRNA_RFAM_37140,bpRNA_RFAM_37143,14
bpRNA_RFAM_37140,bpRNA_RFAM_37146,16
bpRNA_RFAM_37140,bpRNA_RFAM_37149,15
bpRNA_RFAM_37140,bpRNA_RFAM_37151,23
bpRNA_RFAM_37140,bpRNA_RFAM_37153,25
bpRNA_RFAM_37140,bpRNA_RFAM_38668,200
bpRNA_RFAM_37140,bpRNA_RFAM_42542,187
bpRNA_RFAM_37140,bpRNA_RFAM_42545,189
bpRNA_RFAM_37140,bpRNA_RFAM_42548,188
bpRNA_RFAM_37140,bpRNA_RFAM_42550,186
bpRNA_RFAM_37140,bpRNA_RFAM_42552,188
bpRNA_RFAM_37140,bpRNA_RFAM_42554,196
bpRNA_RFAM_37140,bpRNA_RFAM_42556,187
bpRNA_RFAM_37140,bpRNA_RFAM_42558,191
bpRNA_RFAM_37140,bpRNA_RFAM_42563,168
bpRNA_RFAM_37140,bpRNA_RFAM_42565,165
bpRNA_RFAM_37140,bpRNA_RFAM_42569,168
bpRNA_RFAM_37140,bpRNA_RFAM_42570,169
bpRNA_RFAM_37140,bpRNA_RFAM_42574,167
bpRNA_RFAM_37140,bpRNA_RFAM_42576,164
bpRNA_RFAM_37140,bpRNA_RFAM_42577,163
bpRNA_RFAM_37140,bpRNA_RFAM_42584,129
bpRNA_RFAM_37140,bpRNA_RFAM_42585,126
bpRNA_RFAM_37140,bpRNA_RFAM_42587,208
bpRNA_RFAM_37140,bpRNA_RFAM_42602,209
bpRNA_RFAM_37140,bpRNA_RFAM_42603,138
bpRNA_RFAM_37140,bpRNA_RFAM_5814,153
bpRNA_RFAM_37140,bpRNA_RFAM_5815,148
bpRNA_RFAM_37140,bpRNA_RFAM_5967,158
bpRNA_RFAM_37140,bpRNA_RFAM_5968,160
bpRNA_RFAM_37140,bpRNA_RFAM_5969,155
bpRNA_RFAM_37140,bpRNA_RFAM_5970,161
bpRNA_RFAM_37140,bpRNA_RFAM_5971,156
bpRNA_RFAM_37140,bpRNA_RFAM_670,173
bpRNA_RFAM_37142,bpRNA_RFAM_37143,4
bpRNA_RFAM_37142,bpRNA_RFAM_37146,22
bpRNA_RFAM_37142,bpRNA_RFAM_37149,18
bpRNA_RFAM_37142,bpRNA_RFAM_37151,28
bpRNA_RFAM_37142,bpRNA_RFAM_37153,28
bpRNA_RFAM_37142,bpRNA_RFAM_38668,202
bpRNA_RFAM_37142,bpRNA_RFAM_42542,185
