Molecule 1,Molecule 2,Distance
CRW_5S_B_Ac_30,CRW_5S_B_Ac_44,4
CRW_5S_B_Ac_30,CRW_5S_B_Ac_4,3
CRW_5S_B_Ac_30,CRW_5S_B_Ac_7,2
CRW_5S_B_Ac_30,CRW_5S_B_Ac_8,3
CRW_5S_B_Ac_30,CRW_5S_B_B_18,3
CRW_5S_B_Ac_30,CRW_5S_B_Cy_51,1
CRW_5S_B_Ac_30,CRW_5S_B_D_13,4
CRW_5S_B_Ac_30,CRW_5S_B_D_14,4
CRW_5S_B_Ac_30,CRW_5S_B_D_15,4
CRW_5S_B_Ac_30,CRW_5S_B_D_53,7
CRW_5S_B_Ac_30,CRW_5S_B_D_54,5
CRW_5S_B_Ac_30,CRW_5S_B_D_55,3
CRW_5S_B_Ac_30,CRW_5S_B_D_56,6
CRW_5S_B_Ac_30,CRW_5S_B_F_11,4
CRW_5S_B_Ac_30,CRW_5S_B_F_22,3
CRW_5S_B_Ac_30,CRW_5S_B_F_23,3
CRW_5S_B_Ac_30,CRW_5S_B_F_24,5
CRW_5S_B_Ac_30,CRW_5S_B_F_25,3
CRW_5S_B_Ac_30,CRW_5S_B_F_49,3
CRW_5S_B_Ac_30,CRW_5S_B_F_50,6
CRW_5S_B_Ac_30,CRW_5S_B_P_10,4
CRW_5S_B_Ac_30,CRW_5S_B_P_12,4
CRW_5S_B_Ac_30,CRW_5S_B_P_16,7
CRW_5S_B_Ac_30,CRW_5S_B_P_17,4
CRW_5S_B_Ac_30,CRW_5S_B_P_19,4
CRW_5S_B_Ac_30,CRW_5S_B_P_1,4
CRW_5S_B_Ac_30,CRW_5S_B_P_26,3
CRW_5S_B_Ac_30,CRW_5S_B_P_27,3
CRW_5S_B_Ac_30,CRW_5S_B_P_28,4
CRW_5S_B_Ac_30,CRW_5S_B_P_29,4
CRW_5S_B_Ac_30,CRW_5S_B_P_2,4
CRW_5S_B_Ac_30,CRW_5S_B_P_33,4
CRW_5S_B_Ac_30,CRW_5S_B_P_34,4
CRW_5S_B_Ac_30,CRW_5S_B_P_35,4
CRW_5S_B_Ac_30,CRW_5S_B_P_37,4
CRW_5S_B_Ac_30,CRW_5S_B_P_38,4
CRW_5S_B_Ac_30,CRW_5S_B_P_39,4
CRW_5S_B_Ac_30,CRW_5S_B_P_3,3
CRW_5S_B_Ac_30,CRW_5S_B_P_40,4
CRW_5S_B_Ac_30,CRW_5S_B_P_41,4
CRW_5S_B_Ac_30,CRW_5S_B_P_42,5
CRW_5S_B_Ac_30,CRW_5S_B_P_43,5
CRW_5S_B_Ac_30,CRW_5S_B_P_45,9
CRW_5S_B_Ac_30,CRW_5S_B_P_46,4
CRW_5S_B_Ac_30,CRW_5S_B_P_47,4
CRW_5S_B_Ac_30,CRW_5S_B_P_48,4
CRW_5S_B_Ac_30,CRW_5S_B_P_57,4
CRW_5S_B_Ac_30,CRW_5S_B_P_58,4
CRW_5S_B_Ac_30,CRW_5S_B_P_59,5
CRW_5S_B_Ac_30,CRW_5S_B_P_5,4
CRW_5S_B_Ac_30,CRW_5S_B_P_60,4
CRW_5S_B_Ac_30,CRW_5S_B_P_61,4
CRW_5S_B_Ac_30,CRW_5S_B_P_62,4
CRW_5S_B_Ac_30,CRW_5S_B_P_63,4
CRW_5S_B_Ac_30,CRW_5S_B_P_64,4
CRW_5S_B_Ac_30,CRW_5S_B_P_65,5
CRW_5S_B_Ac_30,CRW_5S_B_P_66,4
CRW_5S_B_Ac_30,CRW_5S_B_P_67,4
CRW_5S_B_Ac_30,CRW_5S_B_P_68,4
CRW_5S_B_Ac_30,CRW_5S_B_P_69,5
CRW_5S_B_Ac_30,CRW_5S_B_P_6,4
CRW_5S_B_Ac_30,CRW_5S_B_P_70,5
CRW_5S_B_Ac_30,CRW_5S_B_P_71,4
CRW_5S_B_Ac_30,CRW_5S_B_P_72,4
CRW_5S_B_Ac_30,CRW_5S_B_P_73,4
CRW_5S_B_Ac_30,CRW_5S_B_P_74,3
CRW_5S_B_Ac_30,CRW_5S_B_P_75,4
CRW_5S_B_Ac_30,CRW_5S_B_P_76,4
CRW_5S_B_Ac_30,CRW_5S_B_Te_31,15
CRW_5S_B_Ac_30,CRW_5S_B_Te_32,14
CRW_5S_B_Ac_44,CRW_5S_B_Ac_4,1
CRW_5S_B_Ac_44,CRW_5S_B_Ac_7,6
CRW_5S_B_Ac_44,CRW_5S_B_Ac_8,7
CRW_5S_B_Ac_44,CRW_5S_B_B_18,1
CRW_5S_B_Ac_44,CRW_5S_B_Cy_51,5
CRW_5S_B_Ac_44,CRW_5S_B_D_13,4
CRW_5S_B_Ac_44,CRW_5S_B_D_14,4
CRW_5S_B_Ac_44,CRW_5S_B_D_15,4
CRW_5S_B_Ac_44,CRW_5S_B_D_53,5
CRW_5S_B_Ac_44,CRW_5S_B_D_54,5
CRW_5S_B_Ac_44,CRW_5S_B_D_55,1
CRW_5S_B_Ac_44,CRW_5S_B_D_56,2
CRW_5S_B_Ac_44,CRW_5S_B_F_11,8
CRW_5S_B_Ac_44,CRW_5S_B_F_22,5
CRW_5S_B_Ac_44,CRW_5S_B_F_23,5
CRW_5S_B_Ac_44,CRW_5S_B_F_24,7
CRW_5S_B_Ac_44,CRW_5S_B_F_25,7
CRW_5S_B_Ac_44,CRW_5S_B_F_49,7
CRW_5S_B_Ac_44,CRW_5S_B_F_50,10
CRW_5S_B_Ac_44,CRW_5S_B_P_10,2
CRW_5S_B_Ac_44,CRW_5S_B_P_12,2
CRW_5S_B_Ac_44,CRW_5S_B_P_16,5
CRW_5S_B_Ac_44,CRW_5S_B_P_17,2
CRW_5S_B_Ac_44,CRW_5S_B_P_19,2
CRW_5S_B_Ac_44,CRW_5S_B_P_1,2
CRW_5S_B_Ac_44,CRW_5S_B_P_26,3
CRW_5S_B_Ac_44,CRW_5S_B_P_27,1
CRW_5S_B_Ac_44,CRW_5S_B_P_28,2
CRW_5S_B_Ac_44,CRW_5S_B_P_29,2
CRW_5S_B_Ac_44,CRW_5S_B_P_2,2
CRW_5S_B_Ac_44,CRW_5S_B_P_33,2
CRW_5S_B_Ac_44,CRW_5S_B_P_34,2
CRW_5S_B_Ac_44,CRW_5S_B_P_35,2
CRW_5S_B_Ac_44,CRW_5S_B_P_37,2
CRW_5S_B_Ac_44,CRW_5S_B_P_38,2
CRW_5S_B_Ac_44,CRW_5S_B_P_39,2
CRW_5S_B_Ac_44,CRW_5S_B_P_3,3
CRW_5S_B_Ac_44,CRW_5S_B_P_40,2
CRW_5S_B_Ac_44,CRW_5S_B_P_41,2
CRW_5S_B_Ac_44,CRW_5S_B_P_42,3
CRW_5S_B_Ac_44,CRW_5S_B_P_43,3
CRW_5S_B_Ac_44,CRW_5S_B_P_45,7
CRW_5S_B_Ac_44,CRW_5S_B_P_46,2
CRW_5S_B_Ac_44,CRW_5S_B_P_47,2
CRW_5S_B_Ac_44,CRW_5S_B_P_48,2
CRW_5S_B_Ac_44,CRW_5S_B_P_57,4
CRW_5S_B_Ac_44,CRW_5S_B_P_58,2
CRW_5S_B_Ac_44,CRW_5S_B_P_59,3
CRW_5S_B_Ac_44,CRW_5S_B_P_5,4
CRW_5S_B_Ac_44,CRW_5S_B_P_60,2
CRW_5S_B_Ac_44,CRW_5S_B_P_61,2
CRW_5S_B_Ac_44,CRW_5S_B_P_62,2
CRW_5S_B_Ac_44,CRW_5S_B_P_63,2
CRW_5S_B_Ac_44,CRW_5S_B_P_64,2
CRW_5S_B_Ac_44,CRW_5S_B_P_65,3
CRW_5S_B_Ac_44,CRW_5S_B_P_66,2
CRW_5S_B_Ac_44,CRW_5S_B_P_67,2
CRW_5S_B_Ac_44,CRW_5S_B_P_68,2
CRW_5S_B_Ac_44,CRW_5S_B_P_69,3
CRW_5S_B_Ac_44,CRW_5S_B_P_6,2
CRW_5S_B_Ac_44,CRW_5S_B_P_70,3
CRW_5S_B_Ac_44,CRW_5S_B_P_71,2
CRW_5S_B_Ac_44,CRW_5S_B_P_72,2
CRW_5S_B_Ac_44,CRW_5S_B_P_73,2
CRW_5S_B_Ac_44,CRW_5S_B_P_74,3
CRW_5S_B_Ac_44,CRW_5S_B_P_75,2
CRW_5S_B_Ac_44,CRW_5S_B_P_76,2
CRW_5S_B_Ac_44,CRW_5S_B_Te_31,17
CRW_5S_B_Ac_44,CRW_5S_B_Te_32,14
CRW_5S_B_Ac_4,CRW_5S_B_Ac_7,5
CRW_5S_B_Ac_4,CRW_5S_B_Ac_8,6
CRW_5S_B_Ac_4,CRW_5S_B_B_18,0
CRW_5S_B_Ac_4,CRW_5S_B_Cy_51,4
CRW_5S_B_Ac_4,CRW_5S_B_D_13,3
CRW_5S_B_Ac_4,CRW_5S_B_D_14,3
CRW_5S_B_Ac_4,CRW_5S_B_D_15,3
CRW_5S_B_Ac_4,CRW_5S_B_D_53,4
CRW_5S_B_Ac_4,CRW_5S_B_D_54,4
CRW_5S_B_Ac_4,CRW_5S_B_D_55,2
CRW_5S_B_Ac_4,CRW_5S_B_D_56,3
CRW_5S_B_Ac_4,CRW_5S_B_F_11,7
CRW_5S_B_Ac_4,CRW_5S_B_F_22,4
CRW_5S_B_Ac_4,CRW_5S_B_F_23,4
CRW_5S_B_Ac_4,CRW_5S_B_F_24,6
CRW_5S_B_Ac_4,CRW_5S_B_F_25,6
CRW_5S_B_Ac_4,CRW_5S_B_F_49,6
CRW_5S_B_Ac_4,CRW_5S_B_F_50,9
CRW_5S_B_Ac_4,CRW_5S_B_P_10,1
CRW_5S_B_Ac_4,CRW_5S_B_P_12,1
CRW_5S_B_Ac_4,CRW_5S_B_P_16,4
CRW_5S_B_Ac_4,CRW_5S_B_P_17,1
CRW_5S_B_Ac_4,CRW_5S_B_P_19,1
CRW_5S_B_Ac_4,CRW_5S_B_P_1,1
CRW_5S_B_Ac_4,CRW_5S_B_P_26,2
CRW_5S_B_Ac_4,CRW_5S_B_P_27,0
CRW_5S_B_Ac_4,CRW_5S_B_P_28,1
CRW_5S_B_Ac_4,CRW_5S_B_P_29,1
CRW_5S_B_Ac_4,CRW_5S_B_P_2,1
CRW_5S_B_Ac_4,CRW_5S_B_P_33,1
CRW_5S_B_Ac_4,CRW_5S_B_P_34,1
CRW_5S_B_Ac_4,CRW_5S_B_P_35,1
CRW_5S_B_Ac_4,CRW_5S_B_P_37,1
CRW_5S_B_Ac_4,CRW_5S_B_P_38,1
CRW_5S_B_Ac_4,CRW_5S_B_P_39,1
CRW_5S_B_Ac_4,CRW_5S_B_P_3,2
CRW_5S_B_Ac_4,CRW_5S_B_P_40,1
CRW_5S_B_Ac_4,CRW_5S_B_P_41,1
CRW_5S_B_Ac_4,CRW_5S_B_P_42,2
CRW_5S_B_Ac_4,CRW_5S_B_P_43,2
CRW_5S_B_Ac_4,CRW_5S_B_P_45,6
CRW_5S_B_Ac_4,CRW_5S_B_P_46,1
CRW_5S_B_Ac_4,CRW_5S_B_P_47,1
CRW_5S_B_Ac_4,CRW_5S_B_P_48,1
CRW_5S_B_Ac_4,CRW_5S_B_P_57,3
CRW_5S_B_Ac_4,CRW_5S_B_P_58,1
CRW_5S_B_Ac_4,CRW_5S_B_P_59,2
CRW_5S_B_Ac_4,CRW_5S_B_P_5,3
CRW_5S_B_Ac_4,CRW_5S_B_P_60,1
CRW_5S_B_Ac_4,CRW_5S_B_P_61,1
CRW_5S_B_Ac_4,CRW_5S_B_P_62,1
CRW_5S_B_Ac_4,CRW_5S_B_P_63,1
CRW_5S_B_Ac_4,CRW_5S_B_P_64,1
CRW_5S_B_Ac_4,CRW_5S_B_P_65,2
CRW_5S_B_Ac_4,CRW_5S_B_P_66,1
CRW_5S_B_Ac_4,CRW_5S_B_P_67,1
CRW_5S_B_Ac_4,CRW_5S_B_P_68,1
CRW_5S_B_Ac_4,CRW_5S_B_P_69,2
CRW_5S_B_Ac_4,CRW_5S_B_P_6,1
CRW_5S_B_Ac_4,CRW_5S_B_P_70,2
CRW_5S_B_Ac_4,CRW_5S_B_P_71,1
CRW_5S_B_Ac_4,CRW_5S_B_P_72,1
CRW_5S_B_Ac_4,CRW_5S_B_P_73,1
CRW_5S_B_Ac_4,CRW_5S_B_P_74,2
CRW_5S_B_Ac_4,CRW_5S_B_P_75,1
CRW_5S_B_Ac_4,CRW_5S_B_P_76,1
